feature,importance
same_user_ratio,2.4334931430976874
neighbor_lookback_stds_std_raw,1.6120862269359486
query_std,1.5386211584447065
distance_mean,1.3939882619591724
context_minus_vanilla_h74,1.3340095016906859
weighted_neighbor_residual_mean,1.2336571821257445
context_minus_vanilla_h25,1.0605060329848848
context_minus_vanilla_h73,1.0488584351366506
context_minus_vanilla_h0,1.0161570882698432
context_minus_vanilla_h98,0.9967951469992568
context_minus_vanilla_h3,0.9560122910736869
context_minus_vanilla_h49,0.9133183886400337
context_minus_vanilla_h145,0.8856201471026133
neighbor_lookback_means_mean_raw,0.8467496219446013
neighbor_lookback_means_std_raw,0.8458982445218071
context_minus_vanilla_h97,0.8414641927519662
context_minus_vanilla_h48,0.8385412541049743
context_minus_vanilla_h26,0.8369830792962731
context_minus_vanilla_h16,0.8283407808243946
query_mean,0.8214554767964782
