feature,importance
weighted_neighbor_minus_vanilla_mean,5.53169716491044
context_minus_vanilla_h2,5.227049085058035
weighted_neighbor_residual_mean,4.267274627842672
context_minus_vanilla_h4,4.199192155312054
context_minus_vanilla_h9,3.996114347710389
context_minus_vanilla_h12,3.7124287116570778
context_minus_vanilla_h1,3.64991063261253
context_minus_vanilla_h3,3.5943983588122834
context_minus_vanilla_h18,3.4962717363132083
context_minus_vanilla_h22,3.467949444772316
distance_mean,3.4486255643462798
query_std,3.3420790694396056
context_minus_vanilla_h0,3.318260681267839
context_minus_vanilla_h11,3.300355509674017
context_minus_vanilla_h13,3.2386233024525857
context_minus_vanilla_h5,3.191309372557907
context_minus_vanilla_h10,3.113857632791786
context_minus_vanilla_h14,3.025191022446029
neighbor_lookback_means_mean_raw,2.9996241246908117
query_mean,2.832408818658807
