feature,importance
neighbor_age_mean,47.289937791560604
candidate_minus_vanilla_mean,34.30555484709561
candidate_minus_vanilla_std,4.775310904743141
neighbor_y_minus_vanilla_mean,4.437555924293677
neighbor_y_minus_neighbor_pred_within_std_mean,3.295192838692698
query_mean,2.2330306371059843
distance_mean,1.8002492147232396
query_std,0.7340489907094662
neighbor_lookback_stds_mean_raw,0.7229021853505746
neighbor_y_minus_neighbor_pred_mean,0.40621666572500853
neighbor_weight_max,0.0
neighbor_weight_std,0.0
neighbor_age_std,0.0
neighbor_lookback_means_mean_raw,0.0
same_user_ratio,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_within_std_mean,0.0
neighbor_y_minus_vanilla_between_std,0.0
