feature,importance
neighbor_age_mean,26.799855885969897
neighbor_y_minus_vanilla_mean,14.693531783415626
neighbor_lookback_means_mean_raw,10.789050002214351
candidate_minus_vanilla_mean,10.596534078402383
distance_mean,7.936536580336137
query_mean,7.017409438829891
candidate_minus_vanilla_std,5.622978256535336
neighbor_y_minus_neighbor_pred_within_std_mean,4.2474112360344645
same_user_ratio,3.360911952469385
neighbor_y_minus_vanilla_within_std_mean,2.9868075115383714
neighbor_y_minus_neighbor_pred_mean,2.361442371894189
neighbor_lookback_stds_mean_raw,2.2288007074888143
query_std,1.358730194871149
neighbor_age_std,0.0
neighbor_weight_max,0.0
neighbor_weight_std,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
