feature,importance
candidate_minus_vanilla_h,38.133593361724586
neighbor_y_minus_neighbor_pred_mean_h,11.735492533377228
query_mean,9.220669341251408
neighbor_y_minus_neighbor_pred_mean,8.315282872770611
neighbor_y_minus_neighbor_pred_within_std_mean,5.867562924418256
neighbor_lookback_means_mean_raw,4.826303986806638
query_std,4.593844043628578
neighbor_y_minus_vanilla_within_std_mean,3.7785691294387083
distance_mean,3.1462282568639304
neighbor_lookback_stds_mean_raw,2.925487500605275
neighbor_y_minus_vanilla_mean_h,2.9006840257481845
neighbor_y_minus_vanilla_mean,2.6616572632521938
neighbor_age_mean,1.1012223709039284
same_user_ratio,0.7934023892104848
neighbor_weight_std,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_age_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
