feature,importance
query_std,45.36654326979167
neighbor_weight_std,36.63125742203599
neighbor_lookback_means_std_raw,9.703159158624684
neighbor_lookback_stds_std_raw,7.517615651223721
neighbor_age_mean,0.7814244983239313
neighbor_weight_max,0.0
distance_mean,0.0
neighbor_lookback_stds_mean_raw,0.0
same_user_ratio,0.0
neighbor_lookback_means_mean_raw,0.0
query_mean,0.0
weighted_neighbor_residual_mean,0.0
weighted_neighbor_minus_vanilla_mean,0.0
context_minus_vanilla_std,0.0
context_minus_vanilla_mean,0.0
