feature,importance
candidate_minus_vanilla_std,41.90575208426804
neighbor_y_minus_vanilla_mean,21.552345589396495
candidate_minus_vanilla_mean,7.927328961353386
distance_mean,7.1517584471864
neighbor_lookback_means_mean_raw,6.590198722507975
neighbor_y_minus_neighbor_pred_mean,6.508828138444131
neighbor_lookback_stds_mean_raw,4.766133210186381
query_mean,1.956677898223437
neighbor_age_mean,1.6409769484337362
neighbor_age_std,0.0
neighbor_weight_max,0.0
neighbor_weight_std,0.0
query_std,0.0
neighbor_lookback_means_std_raw,0.0
same_user_ratio,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_vanilla_within_std_mean,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_neighbor_pred_within_std_mean,0.0
neighbor_y_minus_vanilla_between_std,0.0
