feature,importance
candidate_minus_vanilla_std,16.592200020158447
neighbor_y_minus_neighbor_pred_between_std,16.084994423718204
query_std,9.8322239436393
neighbor_y_minus_vanilla_between_std,9.621636146605827
neighbor_y_minus_vanilla_mean,9.476681240701108
neighbor_weight_max,7.986015051331267
candidate_minus_vanilla_mean,7.683967357817715
neighbor_weight_std,7.096971625345661
neighbor_y_minus_neighbor_pred_within_std_mean,5.4200365478251635
neighbor_y_minus_vanilla_within_std_mean,2.8989155043448442
query_mean,2.892664396116176
neighbor_y_minus_neighbor_pred_mean,2.3496271954266486
distance_mean,1.0463096906553802
neighbor_lookback_stds_mean_raw,0.9340104855169936
neighbor_lookback_means_std_raw,0.08374637079727167
neighbor_age_std,0.0
neighbor_lookback_means_mean_raw,0.0
neighbor_age_mean,0.0
same_user_ratio,0.0
neighbor_lookback_stds_std_raw,0.0
