feature,importance
candidate_minus_vanilla_mean,32.32291646178658
neighbor_y_minus_vanilla_mean,31.82625609510789
neighbor_y_minus_neighbor_pred_within_std_mean,5.3693017279734105
neighbor_weight_max,4.108152992782186
neighbor_weight_std,3.078778271973483
neighbor_y_minus_vanilla_within_std_mean,2.7086483757536035
query_mean,2.4178356504631204
neighbor_age_mean,2.092801995481792
query_std,2.030549556870923
candidate_minus_vanilla_std,2.0095585546117993
neighbor_lookback_stds_mean_raw,2.005573915421851
neighbor_y_minus_vanilla_between_std,1.9573408021309016
distance_mean,1.691856930895425
neighbor_y_minus_neighbor_pred_between_std,1.6405492590255697
neighbor_y_minus_neighbor_pred_mean,1.326228661621075
neighbor_lookback_means_mean_raw,1.0899836769696833
neighbor_lookback_means_std_raw,1.0171161746541983
neighbor_lookback_stds_std_raw,0.9056571220048175
neighbor_age_std,0.3394359498744381
same_user_ratio,0.061457824597231925
