feature,importance
candidate_minus_vanilla_std,33.408627107213434
candidate_minus_vanilla_mean,17.022917405503424
neighbor_lookback_means_std_raw,5.563537342706401
neighbor_lookback_means_mean_raw,5.1468472628172135
neighbor_y_minus_vanilla_mean,4.355407127246424
query_std,4.1584065103337595
query_mean,3.8642350545535837
neighbor_lookback_stds_mean_raw,3.650954140934207
distance_mean,3.237228586145327
neighbor_y_minus_vanilla_between_std,3.093336014898338
neighbor_y_minus_neighbor_pred_within_std_mean,3.041252220130569
neighbor_lookback_stds_std_raw,2.91084974167371
neighbor_y_minus_vanilla_within_std_mean,2.214893900954887
neighbor_y_minus_neighbor_pred_between_std,1.7661897263691635
neighbor_weight_std,1.669373054792122
neighbor_y_minus_neighbor_pred_mean,1.2888405546542294
same_user_ratio,1.1590550842417158
neighbor_age_mean,1.0667936976781427
neighbor_weight_max,0.993086781842144
neighbor_age_std,0.388168685311186
