feature,importance
candidate_minus_vanilla_mean,45.100934604738214
neighbor_lookback_means_mean_raw,11.4322483751871
candidate_minus_vanilla_std,10.117113753972065
neighbor_y_minus_neighbor_pred_within_std_mean,8.994941521600014
neighbor_y_minus_neighbor_pred_mean,7.813941170881163
neighbor_y_minus_vanilla_mean,7.469016256309462
neighbor_age_mean,5.64994443878685
query_mean,3.417393717440963
neighbor_y_minus_vanilla_within_std_mean,0.004466161084149369
neighbor_weight_std,0.0
neighbor_weight_max,0.0
distance_mean,0.0
neighbor_age_std,0.0
query_std,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_lookback_stds_mean_raw,0.0
same_user_ratio,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
