feature,importance
candidate_minus_vanilla_std,34.590881045304606
candidate_minus_vanilla_mean,17.856220462059937
neighbor_y_minus_neighbor_pred_mean,10.980791791390255
neighbor_y_minus_vanilla_within_std_mean,6.925401060277762
distance_mean,6.310069525272894
neighbor_lookback_stds_mean_raw,5.03188073881211
neighbor_age_mean,4.356541555495835
query_std,3.8792828408191093
neighbor_y_minus_neighbor_pred_within_std_mean,2.7839879711918063
neighbor_y_minus_vanilla_mean,2.1882585622855615
same_user_ratio,2.1394668375819803
query_mean,1.67197314253393
neighbor_lookback_means_mean_raw,1.2852444669742127
neighbor_age_std,0.0
neighbor_weight_max,0.0
neighbor_weight_std,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
