feature,importance
neighbor_y_minus_neighbor_pred_within_std_mean,36.46061386545732
distance_mean,18.19002065306864
neighbor_lookback_means_mean_raw,5.799461653584087
neighbor_lookback_stds_mean_raw,5.746184953358004
candidate_minus_vanilla_std,5.704115480634032
neighbor_y_minus_neighbor_pred_mean,5.584943938677748
neighbor_y_minus_vanilla_within_std_mean,5.502582975817501
query_std,4.676496809805436
candidate_minus_vanilla_mean,3.439639377616596
neighbor_age_mean,3.3832293111686553
neighbor_y_minus_vanilla_mean,3.3823978663238696
query_mean,2.034716840467212
same_user_ratio,0.09559627402089256
neighbor_age_std,0.0
neighbor_weight_max,0.0
neighbor_weight_std,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
