feature,importance
candidate_minus_vanilla_std,38.747464261255686
neighbor_y_minus_vanilla_within_std_mean,33.62352962402763
neighbor_y_minus_vanilla_mean,6.064558748626513
neighbor_age_mean,5.840226156948251
candidate_minus_vanilla_mean,5.734160285364354
neighbor_lookback_means_mean_raw,2.2562672175670757
distance_mean,1.8000579964921726
neighbor_lookback_stds_mean_raw,1.5522528500928903
neighbor_y_minus_neighbor_pred_mean,1.4623793539740904
query_mean,1.3642308263420877
query_std,1.2157967835366785
neighbor_y_minus_neighbor_pred_within_std_mean,0.3390758957725677
neighbor_age_std,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
same_user_ratio,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
