feature,importance
candidate_minus_vanilla_std,57.874685169715974
neighbor_lookback_stds_mean_raw,23.58752797052282
query_std,9.662772669756814
query_mean,2.6255265401062933
candidate_minus_vanilla_mean,1.9753811841296403
neighbor_age_mean,1.7034362916323116
distance_mean,1.4077261257404852
neighbor_y_minus_neighbor_pred_within_std_mean,1.1629440483956712
neighbor_age_std,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_means_mean_raw,0.0
same_user_ratio,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_within_std_mean,0.0
neighbor_y_minus_neighbor_pred_mean,0.0
neighbor_y_minus_vanilla_mean,0.0
neighbor_y_minus_vanilla_between_std,0.0
