feature,importance
distance_mean,43.534680295875575
neighbor_y_minus_neighbor_pred_mean,15.781145170658794
neighbor_y_minus_vanilla_within_std_mean,11.302041905949887
candidate_minus_vanilla_std,8.523783625001949
query_std,4.444942818333075
candidate_minus_vanilla_mean,3.9141425377964523
neighbor_y_minus_vanilla_mean,3.673794928589978
neighbor_lookback_stds_mean_raw,2.585006419258195
neighbor_lookback_means_mean_raw,2.052538815305167
neighbor_y_minus_neighbor_pred_within_std_mean,1.8734031219309533
query_mean,1.2107620941253188
neighbor_age_mean,1.1037582671746868
neighbor_age_std,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
same_user_ratio,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
