feature,importance
candidate_minus_vanilla_mean,23.665035538032544
candidate_minus_vanilla_std,22.47449951684825
neighbor_lookback_means_mean_raw,14.211480873938651
neighbor_age_mean,6.272936165561865
neighbor_lookback_stds_mean_raw,5.98345095173603
distance_mean,5.960812342974146
query_std,5.077654657543223
neighbor_y_minus_neighbor_pred_mean,4.970424046041814
query_mean,3.8479592561896916
neighbor_y_minus_vanilla_mean,3.163829406750101
neighbor_y_minus_neighbor_pred_within_std_mean,2.5906124295619755
neighbor_y_minus_vanilla_within_std_mean,1.781304814821682
neighbor_age_std,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
same_user_ratio,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
