feature,importance
candidate_minus_vanilla_std,30.210198801365074
candidate_minus_vanilla_mean,13.445498805498639
neighbor_lookback_means_mean_raw,11.995060884131409
neighbor_y_minus_neighbor_pred_mean,9.928637440952677
neighbor_y_minus_neighbor_pred_within_std_mean,9.801995480900128
neighbor_age_mean,6.734782081887913
neighbor_y_minus_vanilla_mean,6.4475611924548355
neighbor_lookback_stds_mean_raw,6.438942721738796
query_std,1.525773227785511
neighbor_y_minus_vanilla_within_std_mean,1.4922854496960825
query_mean,1.107748157216961
distance_mean,0.8715157563719623
neighbor_age_std,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
same_user_ratio,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
