feature,importance
candidate_minus_vanilla_std,42.844847278320515
candidate_minus_vanilla_mean,22.21990036561655
neighbor_age_mean,19.262261299954197
neighbor_lookback_stds_mean_raw,8.546481070393835
neighbor_y_minus_vanilla_within_std_mean,7.0786897177590715
query_std,0.04782026795582981
neighbor_weight_max,0.0
distance_mean,0.0
neighbor_age_std,0.0
neighbor_weight_std,0.0
neighbor_lookback_stds_std_raw,0.0
same_user_ratio,0.0
query_mean,0.0
neighbor_lookback_means_mean_raw,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_within_std_mean,0.0
neighbor_y_minus_neighbor_pred_mean,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_mean,0.0
neighbor_y_minus_vanilla_between_std,0.0
