feature,importance
neighbor_age_mean,20.161527728321357
neighbor_y_minus_vanilla_between_std,12.381176408378911
neighbor_y_minus_neighbor_pred_mean,9.336470636375111
neighbor_lookback_stds_std_raw,9.164351264520166
neighbor_y_minus_vanilla_mean,7.490936590374265
neighbor_age_std,7.422579429595236
candidate_minus_vanilla_mean,7.246088609480505
neighbor_weight_std,5.442239659560227
neighbor_lookback_means_std_raw,4.630678855548645
neighbor_y_minus_neighbor_pred_between_std,4.577660701746383
neighbor_weight_max,4.219892439465568
neighbor_lookback_means_mean_raw,1.7488678100807218
distance_mean,1.3789868735886153
candidate_minus_vanilla_std,1.2700986324049488
neighbor_y_minus_vanilla_within_std_mean,1.1964865660908974
neighbor_lookback_stds_mean_raw,0.9862997650235465
neighbor_y_minus_neighbor_pred_within_std_mean,0.8224270486995087
query_std,0.35881106705593174
query_mean,0.16441991368942102
same_user_ratio,0.0
