feature,importance
neighbor_lookback_means_mean_raw,35.30096167841536
candidate_minus_vanilla_std,29.1483755333805
candidate_minus_vanilla_mean,24.71010752946334
neighbor_lookback_stds_mean_raw,6.909087093995311
neighbor_y_minus_vanilla_within_std_mean,3.931468164745485
neighbor_weight_std,0.0
neighbor_weight_max,0.0
distance_mean,0.0
neighbor_age_std,0.0
neighbor_lookback_stds_std_raw,0.0
same_user_ratio,0.0
neighbor_age_mean,0.0
query_mean,0.0
query_std,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_within_std_mean,0.0
neighbor_y_minus_neighbor_pred_mean,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_mean,0.0
neighbor_y_minus_vanilla_between_std,0.0
