feature,importance
neighbor_age_mean,27.00964313768117
neighbor_lookback_stds_std_raw,22.612315804008613
candidate_minus_vanilla_mean,21.07962039871541
neighbor_y_minus_vanilla_between_std,10.243863554900988
neighbor_age_std,6.2250343200315434
neighbor_weight_max,3.0078138337357316
neighbor_weight_std,2.6055982187985145
neighbor_y_minus_vanilla_mean,2.5454167870104185
neighbor_y_minus_neighbor_pred_between_std,1.3054936941461246
neighbor_y_minus_neighbor_pred_mean,1.1304220592196101
candidate_minus_vanilla_std,0.8653597727609446
neighbor_lookback_stds_mean_raw,0.460452532677709
query_mean,0.28551558458590914
same_user_ratio,0.22384754455015352
neighbor_y_minus_vanilla_within_std_mean,0.21191331575854594
query_std,0.15275156093693773
neighbor_lookback_means_std_raw,0.034937880481671645
distance_mean,0.0
neighbor_lookback_means_mean_raw,0.0
neighbor_y_minus_neighbor_pred_within_std_mean,0.0
