feature,importance
candidate_minus_vanilla_std,33.77372292378411
neighbor_y_minus_vanilla_within_std_mean,28.1633436764446
neighbor_y_minus_neighbor_pred_within_std_mean,13.7888352528204
candidate_minus_vanilla_mean,5.479818211802024
neighbor_y_minus_vanilla_mean,5.391803875280701
query_mean,3.185367084980388
neighbor_age_mean,2.1784769811444797
neighbor_y_minus_neighbor_pred_mean,2.023027517352688
neighbor_lookback_stds_mean_raw,2.0200011427182925
distance_mean,2.0010398188245966
query_std,1.1170308196692385
neighbor_lookback_means_mean_raw,0.8567941664515393
same_user_ratio,0.020738528726967683
neighbor_age_std,0.0
neighbor_weight_max,0.0
neighbor_weight_std,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
