feature,importance
neighbor_y_minus_neighbor_pred_between_std,11.548936609089075
neighbor_age_std,9.902452830398094
neighbor_y_minus_neighbor_pred_mean,9.544926408285926
neighbor_y_minus_neighbor_pred_within_std_mean,7.40491039458242
candidate_minus_vanilla_mean,7.32952892970351
candidate_minus_vanilla_std,7.146481346250024
query_mean,7.135939555669734
neighbor_lookback_stds_mean_raw,6.770205827549827
neighbor_lookback_means_mean_raw,6.075015585184184
neighbor_y_minus_vanilla_within_std_mean,5.679453709448872
neighbor_y_minus_vanilla_mean,5.327081006652004
neighbor_lookback_stds_std_raw,4.85769232624611
neighbor_lookback_means_std_raw,3.012118989207633
neighbor_y_minus_vanilla_between_std,1.8157505351690706
neighbor_weight_std,1.6122225394790461
neighbor_age_mean,1.3700456007205433
distance_mean,1.2708373044898942
query_std,1.2684325411989144
neighbor_weight_max,0.9158136727618899
same_user_ratio,0.012154287913212766
