feature,importance
distance_mean,29.072937691365176
candidate_minus_vanilla_mean,17.29935720354773
neighbor_lookback_stds_mean_raw,14.688827605494554
neighbor_lookback_means_mean_raw,12.564098128691487
neighbor_age_mean,5.651185411981734
neighbor_y_minus_vanilla_mean,4.273578188102806
neighbor_y_minus_neighbor_pred_within_std_mean,3.3324233934259295
query_mean,2.9558493839290083
neighbor_y_minus_neighbor_pred_mean,2.7883615808817783
neighbor_y_minus_vanilla_within_std_mean,2.6909181763939087
query_std,2.6195472387974874
candidate_minus_vanilla_std,1.6700170767744964
same_user_ratio,0.3928989206139264
neighbor_age_std,0.0
neighbor_weight_max,0.0
neighbor_weight_std,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
