feature,importance
distance_mean,11.518442833637152
candidate_minus_vanilla_mean,10.994843372154302
candidate_minus_vanilla_std,10.18230821256139
neighbor_y_minus_vanilla_mean,9.198306954787334
neighbor_y_minus_neighbor_pred_mean,7.9518142438157335
neighbor_age_std,6.826164012380312
neighbor_lookback_stds_std_raw,6.350396132037422
neighbor_weight_std,5.726614668613359
neighbor_lookback_stds_mean_raw,4.052778794048619
neighbor_lookback_means_std_raw,3.46423720041162
neighbor_lookback_means_mean_raw,3.1440168532310206
same_user_ratio,3.132840139269429
neighbor_weight_max,3.067959028743914
query_mean,2.6288286033539405
neighbor_y_minus_vanilla_within_std_mean,2.548182191625764
neighbor_age_mean,2.477010386722209
neighbor_y_minus_neighbor_pred_between_std,2.293394430944881
query_std,1.672885497825711
neighbor_y_minus_vanilla_between_std,1.4548927319725808
neighbor_y_minus_neighbor_pred_within_std_mean,1.3140837118632962
