feature,importance
neighbor_weight_max,30.887605039057817
candidate_minus_vanilla_std,25.90122462342867
neighbor_y_minus_neighbor_pred_mean,21.708278104992704
same_user_ratio,21.502892232520804
neighbor_age_std,0.0
neighbor_weight_std,0.0
distance_mean,0.0
neighbor_age_mean,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_means_mean_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_lookback_stds_mean_raw,0.0
query_mean,0.0
query_std,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_neighbor_pred_within_std_mean,0.0
neighbor_y_minus_vanilla_within_std_mean,0.0
neighbor_y_minus_vanilla_between_std,0.0
neighbor_y_minus_vanilla_mean,0.0
candidate_minus_vanilla_mean,0.0
