feature,importance
neighbor_age_mean,25.783723408489653
neighbor_age_std,23.09215514267844
neighbor_y_minus_vanilla_within_std_mean,19.452290459576616
candidate_minus_vanilla_std,19.179028784971887
neighbor_lookback_stds_std_raw,6.661122337441081
neighbor_lookback_means_std_raw,5.831679866842329
distance_mean,0.0
neighbor_weight_max,0.0
neighbor_weight_std,0.0
neighbor_lookback_means_mean_raw,0.0
neighbor_lookback_stds_mean_raw,0.0
same_user_ratio,0.0
query_mean,0.0
query_std,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_neighbor_pred_within_std_mean,0.0
neighbor_y_minus_neighbor_pred_mean,0.0
neighbor_y_minus_vanilla_between_std,0.0
neighbor_y_minus_vanilla_mean,0.0
candidate_minus_vanilla_mean,0.0
