feature,importance
candidate_minus_vanilla_mean,42.935038382262725
neighbor_y_minus_vanilla_between_std,22.487781889972617
query_std,19.724126999194556
neighbor_lookback_stds_mean_raw,14.853052728570084
neighbor_age_std,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
distance_mean,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_lookback_means_std_raw,0.0
same_user_ratio,0.0
neighbor_age_mean,0.0
query_mean,0.0
neighbor_lookback_means_mean_raw,0.0
neighbor_y_minus_neighbor_pred_within_std_mean,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_within_std_mean,0.0
neighbor_y_minus_neighbor_pred_mean,0.0
neighbor_y_minus_vanilla_mean,0.0
candidate_minus_vanilla_std,0.0
