feature,importance
neighbor_y_minus_vanilla_mean_h,14.747133759966578
candidate_minus_vanilla_h,14.690766025835464
neighbor_y_minus_neighbor_pred_mean_h,12.849909598491342
query_std,6.832488107889021
neighbor_lookback_stds_mean_raw,6.746626655267128
neighbor_age_mean,6.340322669973486
query_mean,6.053615867657061
neighbor_y_minus_neighbor_pred_mean,5.554368645530171
neighbor_y_minus_vanilla_mean,5.415986212942368
distance_mean,5.298133365804798
neighbor_lookback_means_mean_raw,4.998269528663007
neighbor_y_minus_vanilla_within_std_mean,4.842582939146025
neighbor_y_minus_neighbor_pred_within_std_mean,4.293391945425403
same_user_ratio,1.3364046774081553
neighbor_lookback_stds_std_raw,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
