feature,importance
candidate_minus_vanilla_h,29.714738959927114
neighbor_y_minus_vanilla_mean_h,14.992335070781786
neighbor_y_minus_vanilla_mean,8.316994000642337
neighbor_y_minus_vanilla_within_std_mean,6.9015346511845514
neighbor_y_minus_neighbor_pred_mean_h,5.913957840929164
neighbor_y_minus_neighbor_pred_within_std_mean,5.645652613872141
neighbor_y_minus_neighbor_pred_mean,5.514694891934777
neighbor_lookback_stds_mean_raw,4.3837952225309005
distance_mean,4.175035126095606
neighbor_lookback_means_mean_raw,4.071873428041682
query_std,3.936246855977751
query_mean,3.1354674927054216
neighbor_age_mean,3.1104454377479587
same_user_ratio,0.18722840762880813
neighbor_lookback_stds_std_raw,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
