feature,importance
candidate_minus_vanilla_h,12.622864043186725
neighbor_y_minus_vanilla_mean_h,10.580948686175914
neighbor_y_minus_vanilla_mean,5.8759727314545565
neighbor_weight_std,5.506787768120174
neighbor_age_mean,4.828298003630437
neighbor_y_minus_neighbor_pred_mean_h,4.7412997098886995
neighbor_y_minus_vanilla_std_h,4.243255901461448
neighbor_lookback_means_std_raw,4.110157844961918
query_mean,3.954913361092847
neighbor_y_minus_neighbor_pred_between_std,3.9254413966934627
neighbor_lookback_stds_mean_raw,3.8783407676434773
query_std,3.798911829679639
neighbor_y_minus_vanilla_between_std,3.75475962466327
neighbor_weight_max,3.677903823227556
neighbor_y_minus_neighbor_pred_within_std_mean,3.4125979122600736
neighbor_y_minus_neighbor_pred_mean,3.391692417415822
neighbor_lookback_means_mean_raw,3.3144136759361227
neighbor_y_minus_neighbor_pred_std_h,3.261338846365987
distance_mean,3.1592728186537204
neighbor_lookback_stds_std_raw,2.7459620670502836
