feature,importance
candidate_minus_vanilla_h,14.718579245314833
neighbor_y_minus_vanilla_mean_h,14.455692182178034
neighbor_y_minus_neighbor_pred_mean_h,12.465059385317062
neighbor_lookback_stds_mean_raw,8.487234765202993
query_std,6.285117277780256
neighbor_age_mean,6.16422898411955
neighbor_y_minus_vanilla_within_std_mean,5.619642984999882
neighbor_y_minus_neighbor_pred_mean,5.092063717718669
neighbor_y_minus_neighbor_pred_within_std_mean,5.05757253546611
neighbor_y_minus_vanilla_mean,4.9591336363193355
query_mean,4.485243962595148
neighbor_lookback_means_mean_raw,4.369341817446195
distance_mean,4.313910197105821
same_user_ratio,3.527179308436111
neighbor_lookback_stds_std_raw,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
