feature,importance
neighbor_y_minus_vanilla_mean,16.84245422887002
candidate_minus_vanilla_mean,16.653590609017165
neighbor_y_minus_neighbor_pred_within_std_mean,15.941378985117296
candidate_minus_vanilla_std,11.611118765367406
neighbor_y_minus_vanilla_within_std_mean,11.27698527237622
neighbor_lookback_stds_mean_raw,8.838773770375186
neighbor_age_mean,4.618054219426609
query_std,4.207718954416278
neighbor_lookback_means_mean_raw,3.9239585034499864
distance_mean,3.560061439156125
query_mean,1.4931567214517383
neighbor_y_minus_neighbor_pred_mean,1.0327485309759528
neighbor_weight_max,0.0
neighbor_weight_std,0.0
same_user_ratio,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
