feature,importance
candidate_minus_vanilla_h,35.36236130763079
distance_mean,9.873412097865886
neighbor_y_minus_vanilla_within_std_mean,8.405662429910253
neighbor_y_minus_neighbor_pred_mean_h,8.2085371802145
neighbor_y_minus_vanilla_mean_h,7.378789905652158
neighbor_y_minus_neighbor_pred_within_std_mean,6.632164555195225
neighbor_lookback_stds_mean_raw,4.969085191010988
neighbor_y_minus_neighbor_pred_mean,4.799342680406454
neighbor_age_mean,4.426276033324814
neighbor_y_minus_vanilla_mean,3.1676871220420906
query_std,3.0481633090686997
query_mean,1.7549780314963723
neighbor_lookback_means_mean_raw,1.676740985672023
same_user_ratio,0.29679917050974136
neighbor_lookback_stds_std_raw,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
