feature,importance
neighbor_lookback_stds_mean_raw,16.018913081223022
neighbor_lookback_means_mean_raw,11.54283604120109
neighbor_y_minus_neighbor_pred_mean,11.263702948674155
neighbor_lookback_stds_std_raw,8.835592719344847
distance_mean,7.915551891562592
neighbor_y_minus_vanilla_mean,6.220171125905949
candidate_minus_vanilla_mean,5.637246901890348
query_mean,5.127926984026666
query_std,5.080990464007692
neighbor_age_mean,4.695834729303292
neighbor_y_minus_neighbor_pred_within_std_mean,3.427012256863403
candidate_minus_vanilla_std,3.0587358303880947
neighbor_lookback_means_std_raw,2.509505416950348
neighbor_y_minus_vanilla_within_std_mean,2.375268072255415
neighbor_weight_max,2.0780733858115132
neighbor_y_minus_vanilla_between_std,1.5960177460028524
neighbor_y_minus_neighbor_pred_between_std,1.4378418954155676
neighbor_weight_std,0.8779675294484929
same_user_ratio,0.30081097972463333
