feature,importance
distance_mean,25.944449434196002
candidate_minus_vanilla_h,20.042413836738497
neighbor_y_minus_vanilla_mean_h,19.450817907261953
query_std,7.317371254667798
neighbor_y_minus_neighbor_pred_mean_h,5.554920876909826
query_mean,4.9135048152511756
same_user_ratio,4.725224810941736
neighbor_y_minus_neighbor_pred_within_std_mean,2.827632742990439
neighbor_lookback_stds_mean_raw,2.56000266075085
neighbor_y_minus_vanilla_within_std_mean,2.472895767958474
neighbor_y_minus_vanilla_mean,1.3789757035053614
neighbor_age_mean,1.2504725970068742
neighbor_lookback_means_mean_raw,1.0503016724231906
neighbor_y_minus_neighbor_pred_mean,0.5110159193978304
neighbor_lookback_stds_std_raw,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
