feature,importance
candidate_minus_vanilla_h,33.13710153858907
distance_mean,18.887579949666485
neighbor_y_minus_vanilla_mean_h,16.58357323805029
neighbor_y_minus_neighbor_pred_mean_h,5.210872717070294
query_std,4.685277421629692
query_mean,3.711420189266255
neighbor_lookback_stds_mean_raw,3.5944070036792177
same_user_ratio,3.086437335551672
neighbor_age_mean,2.7644827154346
neighbor_lookback_means_mean_raw,2.669213684830201
neighbor_y_minus_vanilla_mean,2.022109795688472
neighbor_y_minus_neighbor_pred_within_std_mean,1.6577253084581764
neighbor_y_minus_vanilla_within_std_mean,1.1361332318821087
neighbor_y_minus_neighbor_pred_mean,0.8536658702034551
neighbor_lookback_stds_std_raw,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
