feature,importance
candidate_minus_vanilla_std,20.023836093897277
distance_mean,11.090537061668503
neighbor_y_minus_vanilla_mean,9.275097818875633
same_user_ratio,9.093784172241476
query_mean,8.880536344291105
candidate_minus_vanilla_mean,8.386072304238514
query_std,8.054705801280427
neighbor_age_mean,6.96833025880105
neighbor_weight_max,3.08090423328998
neighbor_y_minus_vanilla_within_std_mean,2.849497577414637
neighbor_weight_std,2.0589668639736303
neighbor_y_minus_neighbor_pred_mean,2.0191693800352755
neighbor_y_minus_neighbor_pred_within_std_mean,1.9902780254086438
neighbor_lookback_means_mean_raw,1.8142116666315689
neighbor_y_minus_vanilla_between_std,1.5819151632603552
neighbor_lookback_stds_mean_raw,1.3793441593873865
neighbor_y_minus_neighbor_pred_between_std,0.7913410250276194
neighbor_lookback_means_std_raw,0.3609145685263279
neighbor_lookback_stds_std_raw,0.30055748175061525
