feature,importance
neighbor_age_mean,35.5684121593846
candidate_minus_vanilla_h,16.800217072207147
neighbor_y_minus_neighbor_pred_mean_h,6.993443378371673
distance_mean,6.580941069501561
neighbor_y_minus_neighbor_pred_mean,5.993728454818527
neighbor_y_minus_vanilla_mean_h,5.844882988337228
neighbor_y_minus_vanilla_within_std_mean,4.448783036204121
neighbor_lookback_stds_mean_raw,4.122810626626365
neighbor_y_minus_vanilla_mean,3.984437646321248
query_mean,3.0121661722059727
neighbor_lookback_means_mean_raw,2.3396866439979114
query_std,2.260465990791746
neighbor_y_minus_neighbor_pred_within_std_mean,2.0499818388802784
same_user_ratio,4.292235162300727e-05
neighbor_lookback_stds_std_raw,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
