feature,importance
neighbor_y_minus_vanilla_mean_h,29.419321984975976
candidate_minus_vanilla_h,29.350409398754284
neighbor_y_minus_neighbor_pred_mean_h,9.309195821042776
neighbor_age_mean,5.226636203196802
query_mean,5.014210190058219
neighbor_y_minus_vanilla_within_std_mean,4.3237492358919605
distance_mean,3.928769883749375
query_std,3.877231375600557
neighbor_y_minus_neighbor_pred_within_std_mean,2.880381169172365
neighbor_y_minus_neighbor_pred_mean,2.2054173537345827
neighbor_y_minus_vanilla_mean,1.9704178586803944
neighbor_lookback_means_mean_raw,1.4638667815049384
neighbor_lookback_stds_mean_raw,1.0002655091744035
same_user_ratio,0.030127234463357258
neighbor_lookback_stds_std_raw,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
