feature,importance
candidate_minus_vanilla_std,25.360644046054837
candidate_minus_vanilla_mean,15.40056758425226
neighbor_y_minus_neighbor_pred_mean,10.039219808715862
neighbor_y_minus_vanilla_mean,9.576150023477027
neighbor_y_minus_neighbor_pred_within_std_mean,6.799705259307252
neighbor_age_mean,6.269552346701248
neighbor_lookback_means_std_raw,4.066036060016172
distance_mean,3.7263224116810183
neighbor_lookback_stds_std_raw,3.3921413555365967
neighbor_lookback_means_mean_raw,2.259246453793169
neighbor_y_minus_vanilla_between_std,2.252414605546982
neighbor_y_minus_vanilla_within_std_mean,2.0930565694177874
neighbor_age_std,2.0665621773085414
neighbor_lookback_stds_mean_raw,1.5661981244397785
neighbor_y_minus_neighbor_pred_between_std,1.4120075979427014
query_mean,1.3001254431509888
query_std,1.209907459097084
neighbor_weight_std,0.6318430699934274
neighbor_weight_max,0.38211350721400666
same_user_ratio,0.1961860963532745
