feature,importance
candidate_minus_vanilla_std,31.449037107722287
neighbor_y_minus_vanilla_within_std_mean,9.9921905051901
neighbor_age_mean,8.598560028525826
neighbor_y_minus_neighbor_pred_mean,6.060815121368938
neighbor_lookback_means_std_raw,5.835552107351156
distance_mean,4.896423318354598
neighbor_age_std,4.407382513118226
neighbor_y_minus_neighbor_pred_within_std_mean,3.497475470639273
neighbor_y_minus_vanilla_between_std,3.0902277364130484
neighbor_y_minus_vanilla_mean,2.8522107759935063
candidate_minus_vanilla_mean,2.7360769759862604
neighbor_lookback_means_mean_raw,2.429815395312818
neighbor_lookback_stds_mean_raw,2.2752067113353553
neighbor_y_minus_neighbor_pred_between_std,2.0801312359868387
query_mean,1.9205956777050661
neighbor_lookback_stds_std_raw,1.7400348143845479
same_user_ratio,1.68246399665334
neighbor_weight_std,1.67344186195948
neighbor_weight_max,1.649287274866925
query_std,1.1330713711323999
