feature,importance
neighbor_y_minus_vanilla_mean_h,24.128402464434284
candidate_minus_vanilla_h,21.138544119467458
neighbor_y_minus_neighbor_pred_within_std_mean,13.855119866611417
neighbor_y_minus_neighbor_pred_mean_h,13.372983760763617
neighbor_y_minus_vanilla_within_std_mean,10.19398832350911
neighbor_lookback_stds_mean_raw,5.154894827511072
neighbor_y_minus_vanilla_mean,2.150698791204145
neighbor_lookback_means_mean_raw,2.0886424708500004
neighbor_age_mean,1.8887796224305788
query_std,1.7991300902295209
neighbor_y_minus_neighbor_pred_mean,1.475339286188171
distance_mean,0.9417112480329696
query_mean,0.9285704578356574
same_user_ratio,0.8831946709319971
neighbor_lookback_stds_std_raw,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
