feature,importance
neighbor_y_minus_vanilla_within_std_mean,32.378280700699705
candidate_minus_vanilla_std,13.82257127528907
neighbor_y_minus_vanilla_between_std,10.54002952302935
neighbor_lookback_stds_mean_raw,10.022784451999243
neighbor_y_minus_neighbor_pred_between_std,8.197592354438216
distance_mean,7.990277596008526
same_user_ratio,5.000466326926771
query_std,2.0797230528450537
neighbor_weight_max,1.868863633204981
neighbor_y_minus_neighbor_pred_within_std_mean,1.5446066300345251
candidate_minus_vanilla_mean,1.3606194985911806
neighbor_y_minus_vanilla_mean,1.1450036791009754
neighbor_lookback_stds_std_raw,1.0726997268434708
neighbor_lookback_means_mean_raw,0.8026568988656901
query_mean,0.7707276170452568
neighbor_age_mean,0.5472305468007713
neighbor_weight_std,0.5341984828911404
neighbor_y_minus_neighbor_pred_mean,0.2776554072185037
neighbor_lookback_means_std_raw,0.04401259816756093
