feature,importance
neighbor_y_minus_vanilla_within_std_mean,29.67665860723819
distance_mean,13.673426859082603
candidate_minus_vanilla_std,13.073637540652262
neighbor_y_minus_neighbor_pred_within_std_mean,9.993833216040118
candidate_minus_vanilla_mean,9.494412878605267
neighbor_age_mean,8.841191282737649
query_std,6.468183571291791
neighbor_y_minus_neighbor_pred_mean,3.219983574732733
neighbor_y_minus_vanilla_mean,2.8862867041593856
neighbor_lookback_stds_mean_raw,1.2043706785200659
same_user_ratio,0.6302527885632567
neighbor_lookback_means_mean_raw,0.5106942249703723
query_mean,0.32706807340627975
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
