feature,importance
candidate_minus_vanilla_std,29.751638176282054
neighbor_lookback_stds_mean_raw,16.689299096946133
neighbor_lookback_means_mean_raw,8.666807746542851
neighbor_age_mean,7.748347633128366
distance_mean,6.51315601487096
neighbor_y_minus_neighbor_pred_within_std_mean,6.231971932131413
neighbor_y_minus_vanilla_within_std_mean,4.612023065606664
neighbor_y_minus_neighbor_pred_mean,3.792296921226318
candidate_minus_vanilla_mean,3.168659165165089
query_std,3.0887455078291093
neighbor_y_minus_vanilla_mean,2.8042444760235785
query_mean,2.484572626249083
same_user_ratio,1.6248977845401025
neighbor_weight_max,0.726703924547882
neighbor_weight_std,0.6088280855078457
neighbor_age_std,0.5121171687524714
neighbor_y_minus_neighbor_pred_between_std,0.45271209968562215
neighbor_lookback_stds_std_raw,0.29358065786544657
neighbor_y_minus_vanilla_between_std,0.22939791709902219
neighbor_lookback_means_std_raw,0.0
