feature,importance
neighbor_y_minus_neighbor_pred_within_std_mean,10.27626076396781
neighbor_y_minus_neighbor_pred_between_std,9.004718629553404
query_mean,8.899749909124928
candidate_minus_vanilla_mean,8.83288740448169
neighbor_lookback_means_mean_raw,8.372245372465754
neighbor_y_minus_vanilla_mean,8.29656016378114
neighbor_age_mean,8.135917561952803
neighbor_y_minus_vanilla_within_std_mean,7.897940268182537
neighbor_lookback_means_std_raw,5.798791479795233
neighbor_weight_max,3.941077658368979
candidate_minus_vanilla_std,3.623423192165945
neighbor_y_minus_neighbor_pred_mean,3.551708816896692
neighbor_lookback_stds_mean_raw,3.4301103007920983
distance_mean,3.3624159284565014
neighbor_lookback_stds_std_raw,2.2608914969436484
neighbor_y_minus_vanilla_between_std,1.88074664021201
query_std,1.879228214962359
same_user_ratio,0.33351004073219137
neighbor_weight_std,0.22181615716429334
