feature,importance
candidate_minus_vanilla_h,37.81022425703897
neighbor_y_minus_vanilla_mean_h,5.609378160845922
neighbor_y_minus_neighbor_pred_mean_h,4.93359698957651
neighbor_lookback_stds_std_raw,4.582718101298139
neighbor_y_minus_vanilla_mean,4.493478006323046
neighbor_y_minus_neighbor_pred_within_std_mean,4.24671396200233
neighbor_lookback_stds_mean_raw,3.8515376844553635
query_mean,3.4478239311163126
query_std,3.2706310895203417
neighbor_y_minus_neighbor_pred_std_h,3.1132954055061393
neighbor_lookback_means_std_raw,3.060488265922673
neighbor_y_minus_vanilla_std_h,2.8223300342812982
neighbor_y_minus_neighbor_pred_between_std,2.6512474157652455
neighbor_y_minus_neighbor_pred_mean,2.480655819941697
neighbor_age_mean,2.3952647842085524
distance_mean,2.07047346315311
neighbor_weight_std,2.0630094206459977
neighbor_weight_max,1.9436418408555436
neighbor_lookback_means_mean_raw,1.7641136230966943
neighbor_y_minus_vanilla_within_std_mean,1.6681599056200256
