feature,importance
candidate_minus_vanilla_h,30.11915905888013
neighbor_lookback_stds_mean_raw,6.001486706380924
query_std,5.89033252871148
neighbor_y_minus_neighbor_pred_std_h,4.37975972608324
neighbor_y_minus_vanilla_mean_h,4.081180098809589
neighbor_age_mean,3.8999347732127223
distance_mean,3.848474736903271
neighbor_y_minus_neighbor_pred_within_std_mean,3.66055733969481
neighbor_y_minus_vanilla_mean,3.6181801767318347
neighbor_y_minus_vanilla_within_std_mean,3.3970057341430757
neighbor_lookback_stds_std_raw,3.2395986001397232
neighbor_y_minus_neighbor_pred_mean_h,3.156805916989873
neighbor_y_minus_neighbor_pred_mean,2.976504266960127
neighbor_weight_max,2.8669463280588903
neighbor_y_minus_vanilla_between_std,2.6736676386757208
neighbor_weight_std,2.5798647325433053
neighbor_lookback_means_std_raw,2.517406516681979
neighbor_y_minus_vanilla_std_h,2.490949197722864
neighbor_y_minus_neighbor_pred_between_std,2.4585109549537103
same_user_ratio,2.1543556006929996
