feature,importance
candidate_minus_vanilla_h,18.793343435061583
neighbor_y_minus_vanilla_mean_h,18.657141240780753
neighbor_y_minus_neighbor_pred_mean_h,10.774981572923465
neighbor_age_mean,6.924643199804672
query_std,6.656096614685197
neighbor_lookback_stds_mean_raw,6.04676405970264
distance_mean,5.992479423464667
neighbor_y_minus_neighbor_pred_within_std_mean,4.44236271298719
neighbor_y_minus_vanilla_within_std_mean,4.321777130479144
neighbor_y_minus_vanilla_mean,3.994175617785296
neighbor_y_minus_neighbor_pred_mean,3.9301331654944596
query_mean,3.8358768740567037
neighbor_lookback_means_mean_raw,3.0770353936370856
same_user_ratio,2.5531895591371487
neighbor_lookback_stds_std_raw,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
