feature,importance
candidate_minus_vanilla_h,12.467588502070024
neighbor_y_minus_vanilla_mean_h,9.600225225548614
neighbor_age_mean,6.154520943280793
distance_mean,6.103876982930821
neighbor_y_minus_vanilla_mean,5.301195464581485
neighbor_y_minus_neighbor_pred_mean,5.2658750073627845
query_mean,5.186440664895072
neighbor_lookback_means_mean_raw,4.437909063866542
neighbor_lookback_stds_std_raw,4.224419888564198
neighbor_weight_std,4.118052100808243
neighbor_y_minus_neighbor_pred_mean_h,4.025109383110878
neighbor_lookback_means_std_raw,3.979648915034293
neighbor_weight_max,3.438448978512165
neighbor_y_minus_neighbor_pred_between_std,3.0738714527227677
neighbor_y_minus_neighbor_pred_within_std_mean,3.0725727199001382
query_std,3.064718344786508
neighbor_y_minus_neighbor_pred_std_h,2.9622431069653357
neighbor_y_minus_vanilla_std_h,2.88593844006464
neighbor_lookback_stds_mean_raw,2.7746084000405316
neighbor_y_minus_vanilla_within_std_mean,2.7239086375381487
