feature,importance
candidate_minus_vanilla_h,10.470057358432056
neighbor_lookback_stds_std_raw,7.4709163887219985
distance_mean,5.677242161443797
neighbor_weight_std,5.605763331880552
neighbor_y_minus_neighbor_pred_within_std_mean,5.120340011010991
neighbor_y_minus_vanilla_within_std_mean,4.774565605661131
neighbor_lookback_means_mean_raw,4.575517919874758
neighbor_lookback_means_std_raw,4.465706320649979
neighbor_y_minus_vanilla_mean,4.416585178574394
neighbor_y_minus_neighbor_pred_std_h,4.385671049940702
neighbor_y_minus_vanilla_mean_h,4.211388477569347
neighbor_weight_max,4.189499959878209
neighbor_y_minus_vanilla_std_h,3.961211966093536
neighbor_age_mean,3.9460397026230303
neighbor_y_minus_neighbor_pred_between_std,3.679693262954862
neighbor_lookback_stds_mean_raw,3.674052367629019
query_std,3.6406625992032406
neighbor_y_minus_neighbor_pred_mean,3.582562614771346
query_mean,3.549002210449151
neighbor_y_minus_neighbor_pred_mean_h,3.0134410868284633
