feature,importance
candidate_minus_vanilla_mean,42.807502447440704
candidate_minus_vanilla_std,15.889028486257837
neighbor_y_minus_neighbor_pred_mean,9.439628113064757
query_mean,7.215997309753544
neighbor_lookback_means_mean_raw,5.956207597000669
neighbor_lookback_stds_mean_raw,4.558430953049504
query_std,2.9858436881221744
neighbor_age_mean,2.9337953839390387
neighbor_y_minus_vanilla_within_std_mean,2.167748348996116
neighbor_y_minus_vanilla_mean,2.1136937599763472
neighbor_y_minus_neighbor_pred_within_std_mean,1.4818012506829599
same_user_ratio,1.3907984357642367
distance_mean,1.0595242259521078
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
