feature,importance
candidate_minus_vanilla_h,19.49069771118155
neighbor_y_minus_vanilla_mean_h,18.69130703754129
neighbor_y_minus_vanilla_mean,6.279148297443694
neighbor_y_minus_neighbor_pred_std_h,4.680764496303282
neighbor_y_minus_vanilla_between_std,4.663017441128193
neighbor_lookback_stds_mean_raw,4.555446766675765
neighbor_y_minus_neighbor_pred_mean_h,4.433833002610045
neighbor_age_mean,4.283569160190397
neighbor_lookback_stds_std_raw,4.114827455257478
neighbor_y_minus_vanilla_within_std_mean,3.6890973607975988
neighbor_y_minus_vanilla_std_h,3.6300013063475465
neighbor_y_minus_neighbor_pred_within_std_mean,3.0732891037979253
neighbor_lookback_means_std_raw,3.0323013989089422
neighbor_y_minus_neighbor_pred_mean,2.9552095323585448
distance_mean,2.7653353003658143
neighbor_y_minus_neighbor_pred_between_std,2.4601480136593668
query_std,2.388342700395673
neighbor_lookback_means_mean_raw,1.7551788558261132
query_mean,1.450726934794253
neighbor_weight_std,0.7838723061278148
