feature,importance
candidate_minus_vanilla_h,12.063305884027727
neighbor_y_minus_vanilla_mean,9.537416494544749
neighbor_lookback_stds_mean_raw,8.29066076540941
neighbor_y_minus_neighbor_pred_mean,7.322627774334521
neighbor_y_minus_neighbor_pred_mean_h,7.0364817492983915
query_std,6.847002802703145
distance_mean,6.693998111429111
neighbor_lookback_means_mean_raw,6.689952152699472
neighbor_y_minus_vanilla_mean_h,6.533144923341481
neighbor_y_minus_vanilla_within_std_mean,6.292988599703347
neighbor_age_mean,6.281226015789097
neighbor_y_minus_neighbor_pred_within_std_mean,5.891808977620104
query_mean,5.804325165186433
same_user_ratio,4.7150605839130195
neighbor_lookback_stds_std_raw,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_vanilla_between_std,0.0
