feature,importance
candidate_minus_vanilla_mean,12.750124171453013
neighbor_y_minus_vanilla_mean,11.105238826145404
neighbor_age_mean,8.58148763657224
candidate_minus_vanilla_std,7.916468213601977
neighbor_y_minus_neighbor_pred_mean,5.577930745124049
neighbor_lookback_stds_mean_raw,5.416558254715171
neighbor_y_minus_neighbor_pred_within_std_mean,5.273778194590941
neighbor_lookback_stds_std_raw,5.265242316047888
neighbor_lookback_means_std_raw,5.014820874997495
query_std,4.76781883185142
neighbor_y_minus_neighbor_pred_between_std,3.6493391743120203
distance_mean,3.3943903884717397
neighbor_y_minus_vanilla_between_std,3.330079385320782
query_mean,3.213119353339326
neighbor_weight_max,3.1304842157475252
neighbor_weight_std,3.101310769603557
same_user_ratio,2.962080511165197
neighbor_lookback_means_mean_raw,2.833680246331522
neighbor_y_minus_vanilla_within_std_mean,2.716047890608711
