horizon,V,C,Y_1,Y_2,Y_3
1,-0.017551026184944713,-0.014412242468953914,-0.000766642538939667,0.000721131224606901,0.012323766408219665
2,-0.028831921836349885,-0.022511868385391053,0.006016759325642308,0.007627621669901731,0.016893834249806092
3,-0.028981658652486246,-0.022915918988257514,-0.0014706310365669563,0.013646869445590518,0.012976765772761894
4,-0.024531568519743585,-0.023285894911918067,-0.008140971788056652,0.008030700775515579,0.005946557900647822
5,-0.013287296008072214,-0.016955876693035707,-0.016125515316889667,-0.006832746285529838,0.00019931330098536552
6,-0.020679654790638508,-0.026575970933190595,0.01392271467842907,-0.007641842866382675,-0.00577842230766822
7,-0.022698917637068168,-0.03119494976028846,0.02053003345845119,0.0009139113735098959,-0.013205367487838713
8,-0.02564963007611922,-0.03184167363108325,0.01414640310554065,-0.010643068789239747,-0.01263529836473153
9,-0.02970267588954634,-0.03284279999606537,0.009253984815230397,-0.013111349074160237,-0.00435448373807801
10,-0.03254276946848765,-0.030755779649212004,0.005862624542208947,-0.004731308531310528,-0.0008150492182458551
11,-0.021329156993445644,-0.01533734533246479,-0.008755335940350073,-0.010308795012005444,-0.004066938335192367
12,-0.016328115965484422,-0.01271126821234335,-0.01440464606184359,-0.006239748882163441,-0.010628062687768145
13,-0.018290438675747173,-0.016689387095933827,-0.019065303640275255,-0.0015712801497806746,0.000501751515740781
14,-0.018250506430700385,-0.02148933411096785,-0.021118761769164537,0.0007203756873158698,-0.0034698855857381613
15,-0.015782479885064128,-0.017444370765372,-0.013198937397435391,-0.003054424609292515,-0.018197876061890376
16,-0.017083351707139916,-0.018029296373036605,-0.01918330447987075,-0.019482918872968238,-0.006813875382353612
17,-0.01401165005967262,-0.022069355560322794,-0.0075819525721986455,-0.02982761200428461,-0.009134757117763589
18,-0.017725422742893474,-0.025596361809325792,-0.012686627063347463,-0.021826154651599927,-0.0047835051929980416
19,-0.01965633312414171,-0.026650757292565323,-0.011279196543271459,-0.013997014765619934,-0.013017359570104421
20,-0.021026464934396954,-0.027063245378961605,-0.004134519753784434,-0.020402955034262746,-0.013574931448626289
21,-0.02580797483442019,-0.02738739507326376,0.003744170993564173,-0.019167128255500817,-0.023480967068530118
22,-0.02292144303187901,-0.022431602719922596,0.00504321178007371,-0.023941041902519902,-0.02778763690277894
23,-0.020584421270623918,-0.018222728087863158,5.817316394934256e-06,-0.023229439355874616,-0.028065494429036476
24,-0.029339913180263605,-0.024206766556908826,-0.019018333044145703,-0.012738931892873631,-0.013503762710883285
25,-0.04115427554061736,-0.03334404726157178,-0.007574598556446949,-0.00462126077383949,0.005464026046167426
26,-0.052412296687763316,-0.04527702065500182,0.00036146565943073175,0.018651562178783058,0.018055499512646674
27,-0.06122203951122646,-0.05168590247400314,0.009429257075026957,0.028042899276584703,0.021572449129809823
28,-0.05521181075448148,-0.04591422302581747,-0.00014633196916645592,0.025270999721215485,0.025530023774942366
29,-0.04677005812824345,-0.04316279377794772,-0.0028716262015842857,0.01195611576778363,0.02582187993378678
30,-0.029030057571278786,-0.03369501631049672,-0.011044179157349687,-0.0034585038048006917,0.012756066631152016
31,-0.030588513328715435,-0.03970167436178721,0.003026057709117301,-0.0004532853738155444,0.0029803815613595607
32,-0.02603849952465807,-0.03728077849646353,0.00381884380241875,-0.00362153152694197,-0.003956095036082316
33,-0.017147642284302857,-0.026919303087024962,-0.0030252624600196573,-0.011658300853110112,-0.010583834511565053
34,-0.014431306238730637,-0.02082221891085883,-0.006244033631500914,-0.01896293083380246,-0.017054364460405987
35,-0.01902038611830125,-0.018379944619885683,-0.008470186965889347,-0.016201184984943176,-0.012828875281617854
36,-0.016495206123246103,-0.011621792646714233,-0.02232772260053717,-0.010121841480585373,-0.006008342001563316
37,-0.013209865732588063,-0.011973955716217921,-0.024519894104136544,-0.0153894005533389,-0.008663585248090876
38,-0.01461356025304217,-0.012963773489597836,-0.020161146009861547,-0.017149450588575466,-0.0005976110776286313
39,-0.022246122723578992,-0.01946623785626932,-0.017361169261811672,-0.013029354028245154,0.0018303503987240767
40,-0.03784980461743773,-0.030801899682532025,-0.0035222163896770874,-0.01652743776302972,-0.005061167293173826
41,-0.047416902687683775,-0.03944827137629959,-0.0028905792356393916,-0.012766144097914666,-0.008412389262723316
42,-0.052883596048358746,-0.04621953113682421,0.0034180193027860913,-0.013116122794475651,-0.008418279722168234
43,-0.057062392766889555,-0.051901322076028746,0.015024486138191054,-0.0090407576577126,-0.012730913975543375
44,-0.04645850329698325,-0.0427870181715434,0.0049760970312155645,-0.011679928707685836,-0.015938980900472993
45,-0.03670095902468341,-0.03510984638691079,-0.0007949317602548584,-0.015765928625834844,-0.015924230525692525
46,-0.03541248027619374,-0.031816602719744444,-0.005859902887580973,-0.01938433163234908,-0.014654747746815902
47,-0.0390089168737558,-0.03438368279349382,-0.0035880227249432775,-0.019263918848972494,-0.013391971819118123
48,-0.036511997069336756,-0.0304199636653186,-0.004028648032570177,-0.01980882842590554,-0.015269259056574015
