horizon,V,C,Y_1,N_1
1,-0.01802548636345564,-0.014913887030259993,0.005411587674221504,0.005393824030081202
2,-0.02454266234509263,-0.01902213014730026,0.01225161213117731,0.009640263604381548
3,-0.03019310397971221,-0.022736217464766745,0.025326182138237337,0.004436119194972963
4,-0.027660885203872373,-0.023070098574252206,0.024761456252322293,-0.00989587984225222
5,-0.03163879835590472,-0.027709992710180868,0.03526374155999165,-0.015658079889483742
6,-0.028254777187347757,-0.0275424530440297,0.02924545370629267,-0.009847643152739309
7,-0.018610123594046714,-0.02024751856338821,0.007833459569875979,-0.009604210874846888
8,-0.020140604566082597,-0.02000300127515631,-0.008397613666294672,-0.013906912896298345
9,-0.021088835898262784,-0.020181521599185702,-0.01701163305321787,-0.011786740259510481
10,-0.025386227793053193,-0.02397023987676587,-0.01681553153051094,-0.0005530319432451989
11,-0.02822537625775265,-0.02490394371076702,-0.008583783049320516,0.00037834408363463516
12,-0.027864262260257015,-0.02558855926704513,-0.0010176909729805376,-0.007527182788701002
13,-0.020367053579552496,-0.018283894421681976,-0.0056719960968942395,-0.013864622192197548
14,-0.015490443165679326,-0.01466700630020986,-0.017664123965918273,-0.016986237426292822
15,-0.007788795140990504,-0.007791173328014159,-0.037483363402289464,-0.014213671680836402
16,-0.007804704292468993,-0.008579007413658274,-0.03620183447622229,-0.023974508733141518
17,-0.0004961714416416798,-0.005547201716670682,-0.03901364205418553,-0.02526985105841776
18,0.0035828767781442947,-0.0027715433317994694,-0.03968188001921127,-0.02524820868323776
19,-0.00010620363299092001,-0.006767649028392364,-0.035589353635926343,-0.02293461976366744
20,-0.00669765042177484,-0.010158134742114827,-0.0321606380978271,-0.021493270825681542
21,-0.012569417358589569,-0.010489087627980153,-0.037474985045966434,-0.019278207990173733
22,-0.01214499422526549,-0.00762271511437338,-0.046514504071452085,-0.01525340420074269
23,-0.020037200997791924,-0.01448030464828611,-0.032727309817010844,-0.011830907098613652
24,-0.03680802488863784,-0.028418286283837017,-0.01131102902212458,-0.00980754417309569
25,-0.04199791143348406,-0.03269578488550445,0.004055082370859495,-0.004960474451741587
26,-0.04156389949075607,-0.02986997749154021,0.014157851042155308,-0.007216841254922385
27,-0.04305824651625598,-0.027939118292232563,0.02571242409306984,-0.011587158625565109
28,-0.041247452379162886,-0.02814764749892912,0.03430543558333335,-0.014683459853649796
29,-0.030716877034860653,-0.022253279761280623,0.028440520792665208,-0.026562882743866534
30,-0.026437326962807147,-0.024443317785352442,0.02878349268360795,-0.031302788439645554
31,-0.024844663715911493,-0.028579157154002062,0.02567784721647223,-0.030068220767053257
32,-0.022166800859112646,-0.027372775962619528,0.015195535105681892,-0.027558362866005666
33,-0.021086577148678554,-0.02591760509177515,0.008049785800120803,-0.024106611131296998
34,-0.021036257734087644,-0.022517286864872425,-0.00516750932998632,-0.02055018552596551
35,-0.02538072405495311,-0.017743708529899885,-0.018552278669151902,-0.008063137730710001
36,-0.022956607334814593,-0.011083498796227085,-0.027121447210447246,-0.003313539470263165
37,-0.02057376984917169,-0.011914967568976764,-0.027414904714066546,-0.008484108008743264
38,-0.016991700009948974,-0.01085398827749562,-0.021253601747249582,-0.009716407899535286
39,-0.017538661302794464,-0.011762705882919661,-0.0256154310518511,-0.00835827143091186
40,-0.01998907710094879,-0.014538912427312728,-0.045755941550774594,-0.003689540166549892
41,-0.01977577374126144,-0.016694327272438716,-0.05149365569500414,-0.00841147748062056
42,-0.013596374320688115,-0.011486368827758204,-0.05376482719298349,-0.01658948749080498
43,-0.00876723412885771,-0.009885882967552653,-0.054404523153077596,-0.014844787614647713
44,-0.00686774962411295,-0.009453978168879874,-0.04806540399090349,-0.018800569508645868
45,-0.007265097521272236,-0.006872866683716729,-0.04588061514227217,-0.015624644853453386
46,-0.014444063499187773,-0.010948076203377666,-0.038757433426914276,-0.015219969667700709
47,-0.021851713170012207,-0.014765862029400712,-0.03924447772513529,-0.010125168443151752
48,-0.02984034006153335,-0.0182154745156542,-0.033903782979883224,-0.0039196370836254765
49,-0.041863047885305676,-0.021296732062511432,-0.010494298508762458,0.002048457340774216
50,-0.04223084374235075,-0.020805575364224043,-0.008183824278731789,0.014067618404428668
51,-0.04629400315235905,-0.023323233675784434,0.005325629121611353,0.013536352723746346
52,-0.04893772003835004,-0.025492870952262565,0.02515536918079727,0.008875848459150527
53,-0.047789892549659464,-0.027089743415237195,0.041145309858537614,-0.0013424203103122266
54,-0.0347309461772533,-0.02316179801936725,0.034946882045323986,-0.013968900310361217
55,-0.024473730088425485,-0.023372688580581023,0.02376248674491077,-0.020128995873408637
56,-0.027148771159240984,-0.02947942500697138,0.016568686885938235,-0.02712768722187466
57,-0.020380119605181476,-0.02811756072561446,0.0018966179058830823,-0.02741663179267883
