horizon,V,C,Y_1,Y_2,Y_3,N_1,N_2,N_3
1,-0.019922123320613733,-0.01586061257370714,0.0029760451271455047,0.003683221472564745,0.00015148588091229624,0.0028052912714479315,0.0029224586151754494,0.0013537710964184708
2,-0.02846244916854569,-0.02074659608458376,0.0074995675587788534,0.007084030403515781,0.006377618163477066,0.004455986470834352,0.0022304489673138665,0.00043742711312348893
3,-0.0346028743584032,-0.022943706675720116,0.019024983520172876,0.012782412684627664,0.015150914638567837,-0.00034885328767041824,-0.002477379844043832,-0.008997794803467457
4,-0.030875199325955456,-0.021929784663080952,0.016767203137921814,0.024382091705281994,0.02206664898720381,-0.011731536783761634,-0.013417126028537035,-0.019922556518061997
5,-0.03240076306614725,-0.025351715790113877,0.02929420056861577,0.02270717208410634,0.02635268803261592,-0.013790057333334422,-0.023099004196660104,-0.021707689086333956
6,-0.02941530267759415,-0.026725924829082925,0.024441111326821356,0.020232052956137524,0.016695098807507136,-0.008767558819933153,-0.014449736545650646,-0.017172392904893932
7,-0.0162006193278319,-0.016651353786048928,0.008700492380113972,0.011801098602246046,0.0003236282144354539,-0.0058129336318621765,-0.008234997470718533,-0.014321270472402767
8,-0.013512384376299232,-0.013078296155951723,-0.0024672822337436125,-0.002604974048907862,-0.003404804617436305,-0.005703462024074335,-0.007059687283374442,-0.01536546783509918
9,-0.014402104371047737,-0.014472572371059143,-0.010145751538080151,-0.007778985870358792,-0.0038471405421018337,-0.0037900977133632097,-0.008748948942232122,-0.007979283066999406
10,-0.021866202928231607,-0.02060644679897019,-0.011354436595936398,-0.010485461447717379,-0.00593505310534537,0.0036746292032287685,-0.002554875150892948,0.0012196814393094758
11,-0.02770980614811475,-0.022211466700810135,-0.006108330333712417,-0.012976820005292126,0.004848281641284777,0.0013969917807891918,-0.0017639089567990638,0.0026033908321309333
12,-0.02439662645466479,-0.02014166784870169,0.0042050735462738865,-0.010747922017710902,-0.003887835186348273,-0.0031590764701023865,-0.0029709424619004097,-0.0020215993726389677
13,-0.015714312404343834,-0.011912894051334597,-0.0005002402400541801,-0.006955897526646479,-0.00265908019046484,-0.008182142281671446,-0.005829703594218323,-0.007346137095398875
14,-0.008572717365535705,-0.0062057686405722155,-0.009338624806256086,-0.01185356241989859,-0.007209594503825243,-0.00857070849641103,-0.008422906919818056,-0.00642354706993925
15,-0.0006716512554652778,0.0005865396606734074,-0.028841261272534145,-0.016145159418047957,-0.00436014308140763,-0.005520501393718774,-0.008684973727051078,-0.0056545534713901315
16,0.001344760330032258,0.000635714462155026,-0.02500673177242082,-0.01763344290268337,-0.007317209864813916,-0.012743476862910679,-0.006823126983421217,-0.011543371235011526
17,0.01367240484726264,0.003912267802812791,-0.024414408429605287,-0.00800239874285242,-0.014305841300833878,-0.008749323433321523,-0.010468997485999804,-0.02473289921411672
18,0.020106714373229133,0.007502578430644832,-0.019783483316695098,-0.02114268633422087,-0.01750139641700805,-0.006326627501050773,-0.012550805675371231,-0.018537338833509102
19,0.012302107293129588,0.0011849650028715039,-0.021947308123987513,-0.0113755351033017,-0.018287766660989156,-0.009242396275719987,-0.01068449328410491,-0.010995258306338221
20,0.0038687031261257394,-0.0024913475212604186,-0.022001087603374866,-0.00784383650871657,-0.011625329693902575,-0.009993784205492798,-0.01330773035827662,-0.009952756876156333
21,-0.000803125150580219,2.0048363028641252e-05,-0.02346945319405023,-0.013069486230810378,-0.022589911228176142,-0.005482724628300933,-0.010794054884094365,-0.00837819647575229
22,0.0007922968383198832,0.004540816331639201,-0.029204845747396943,-0.015029566135762002,-0.027359250031728056,0.0005521559292038411,-0.011894969570793296,-0.008611641653033322
23,-0.009933486252537807,-0.0023655980003492285,-0.01612516736523867,-0.017467641414447937,-0.02400581092057561,0.0008836168816854211,-0.008246760427421515,-0.005843717850283002
24,-0.0299255344872554,-0.01915796705842333,0.0009410128339162395,-0.01353857094151033,-0.0163805720795338,-0.0009465773281562789,-0.005384601941118532,-0.004731554772802017
25,-0.039258398028744874,-0.026489418963504357,0.0058481862236163815,0.0019948792676123717,0.003249937156259922,-0.0015319927388279724,-0.009975456752747424,-0.009288028150244898
26,-0.03890266232059553,-0.023603429517764823,0.014379517498639968,-0.0002280794522204091,0.014068377185332676,-0.004099082513968065,-0.016429849645675926,-0.009227841322608548
27,-0.04311404213463779,-0.023235058469959935,0.021890813607524654,0.005861521730037845,0.024734975073016766,-0.01137653725505351,-0.017084001027632946,-0.01327526796200045
28,-0.043014553792638736,-0.024238498038957258,0.028347440292613737,0.017823491470462208,0.020254258996411006,-0.01571942580008584,-0.013830231247428292,-0.017898347282766618
29,-0.030907349474357186,-0.01946142844601477,0.021056820109738843,0.02537226689300384,0.028674756637675082,-0.024579340324529082,-0.021139127221015883,-0.02841316470874735
30,-0.023435481359522045,-0.019751302893102916,0.024770444721648827,0.019697723840776487,0.03050969271560347,-0.02475103684933427,-0.026670443529610975,-0.03197645159329293
31,-0.02050666829374597,-0.023320552255990386,0.02508471998888948,0.011478500190060132,0.021650285000041354,-0.02241334219223028,-0.02167848263750994,-0.02701832388921699
32,-0.013039350186877987,-0.0174810753814593,0.02161986857071717,0.005769107470017323,-0.0027463729378843084,-0.01599998675677097,-0.01947284581233569,-0.021125957552157806
33,-0.012627956466607517,-0.016192493247542447,0.015070207492807281,-0.0032266380924542283,-0.0047058850262588344,-0.013852493135756027,-0.012810910447685222,-0.015870811039768853
34,-0.01405198163832281,-0.014646529521664137,0.0013358632009846175,0.0003013578447308007,-0.011045678349544763,-0.012324628066358619,-0.01006566337520792,-0.010013723431501058
35,-0.0201454914194541,-0.010638371048407312,-0.011323321040731348,-0.008605206540380866,-0.01989733920681889,-0.0023373723763155676,-0.0017211592417156743,0.0025699620645117482
36,-0.019961107126232804,-0.005710076395507626,-0.021431432708804418,-0.013357339218593238,-0.01156813872348786,-9.026682552995247e-05,0.00015710635839247074,0.005517730468695462
37,-0.01483433739885016,-0.004788299119993583,-0.01979988615150674,-0.017196035267232866,-0.007169919345937776,-0.0022418485889585445,-0.003537355645750716,-0.0008989061877719497
38,-0.009450511897143634,-0.0010936143775152028,-0.01262713835004745,-0.014797404336962383,-0.008807513768073606,-0.0013098988094240912,-0.0062892048460537345,-0.006478870152252856
39,-0.010928463008982727,-0.0029144463718354338,-0.017126712329395857,-0.011609168190297944,-0.012058231434887991,-0.0009277770615733413,-0.005008587053969054,-0.004828160963287646
40,-0.015210169510692532,-0.006162330730683881,-0.03729541889958466,-0.016274354071325225,-0.013861744534605563,0.0015274559885329242,0.002229820195297193,-0.001791046344192826
41,-0.011593624261831841,-0.006302441721177098,-0.037002214835646564,-0.02381765381183624,-0.022583126112482525,0.0004816765181883674,0.0015499317435502674,-0.0014667990876622646
42,0.00025475468373400853,0.0010106358776936176,-0.030997196933374428,-0.030043881660227686,-0.03320946588231575,-0.0017231680033476511,-0.001796499704010081,-0.004426001757722865
43,0.005999105298010644,0.0026042245821097875,-0.027820467699505205,-0.04161358927501022,-0.03259805150386318,0.0008276794491291063,-0.001797667039313571,-0.0004916519927599612
44,0.0048522221038776615,0.0012135021280486372,-0.0270216019565827,-0.029805627816943507,-0.0378550932939743,-0.006612115899106224,0.0022545611226590778,0.0027358208117301474
45,0.0019129593681548845,0.002375920644995099,-0.02904281073007556,-0.022031240136025126,-0.04331206824408114,-0.005766752336282817,0.008855636063827018,0.004442207451085531
46,-0.002620009643013358,0.00316777109453454,-0.018811379342362055,-0.02947310350461869,-0.04421164555655095,-0.0019393318252468573,0.0025560229986406457,0.0034119664793818114
47,-0.01110178530141299,-0.000190953070287577,-0.018547689677719532,-0.02689812848088804,-0.04322578240059228,0.002641971909233468,0.000626738200393871,0.003134739468372595
48,-0.024767747817076396,-0.00644839435572111,-0.015358713100739866,-0.029983097176422554,-0.03612985374867385,0.0031774493717687167,0.007374587730067639,0.010124824165623998
49,-0.03779558502104828,-0.009573856749889888,0.0057821415136113784,-0.034866477146955836,-0.030372960203041584,0.008193662022499984,0.009092195405937191,0.012837610224175648
50,-0.04585090459154184,-0.01645608267680709,-0.006127694922924581,-0.014958976562997679,-0.006591915372527221,0.01114070551104994,0.0060712019891808675,0.014543560977790476
51,-0.051533877269426966,-0.02042051037201253,0.0016650643549730928,-0.0064121647735382176,0.011036327805043964,0.008575152514488392,-0.0014318612062335426,0.008307139885588562
52,-0.05357247993701771,-0.02339491682274077,0.02071836749406258,-0.0020738591061431784,0.016508953347619915,0.0044855093832594705,-0.005188862340898743,0.002890012834427605
53,-0.05203688990773821,-0.025543583421363404,0.034407606991183,0.01075363979580617,0.019640249444673116,-0.005165534915776536,-0.01224048476321463,-0.0036778690477364787
54,-0.03601176386848484,-0.021972217513603894,0.029471786746949127,0.013520647297249343,0.02406352062977087,-0.013833120176973707,-0.02104075731803472,-0.010326976403889056
55,-0.02436255511979006,-0.021620698870019932,0.019677477449318304,0.020506797594821106,0.018027124599000348,-0.0176558542711027,-0.024002840811544475,-0.013901601993329096
56,-0.02319534590521194,-0.024423271551509924,0.016581308371472488,0.01915978413751739,0.007697946003227113,-0.020463831207694422,-0.02149549332630852,-0.020244223718721404
57,-0.010743020853141038,-0.018433831629574095,0.009357394567059875,0.007777947184142152,-0.00921774118547917,-0.015214991976128262,-0.016361381616919992,-0.02202785159933615
58,-0.00915048556774242,-0.01725194713111701,-0.001611596467592217,0.0010886299774080094,-0.008215564969895188,-0.013202232492162819,-0.015403552881730297,-0.018145843865668355
59,-0.014699992167769387,-0.016277264144878584,-0.0007971568681667702,0.0026505508537212905,-0.01721753984279952,-0.012682379978833166,-0.008935300694951,-0.016771467500267156
60,-0.02081924274625835,-0.015634749108061397,-0.008514557317596453,0.0012498196138926042,-0.008887907843554635,-0.009131318432331321,-0.003332322265507466,-0.013010934789797106
61,-0.01730843235017804,-0.010082247287733118,-0.006955827554219725,-0.0025461663631147474,-0.0059135404952102635,-0.00926322714305206,-0.001295651198644906,-0.011521322426140918
62,-0.017095717049514975,-0.010675565192834056,-0.001967838594109761,0.00026833911034905263,-0.006898513451048762,-0.009836650497951172,-0.006989017769580796,-0.0142750555852117
63,-0.01237081648170694,-0.00352024185139687,-0.0070530721164828785,-0.004944356146069503,-0.0004964124766118919,-0.014031616432377852,-0.011534928918460807,-0.016616973486726472
64,-0.008491907562196076,-0.0016335474957784209,-0.01516032286372293,-0.007460650664507072,-0.011087378670559771,-0.01162418389737936,-0.007572123472586309,-0.014723507049993005
65,-0.006832855208202425,-0.0022879461104921197,-0.03778293694296153,-0.008725318542142922,-0.003954487576299533,-0.003660652233549139,-0.0029892984375341834,-0.009146035483522556
66,-0.0026955930959662246,-0.0017575551385544655,-0.04039354234623569,-0.01535101178538912,-0.011371852912176657,-0.002231572948599032,-0.004810628398427555,-0.007903323580790923
67,0.0026957505801946786,0.0015679463134432659,-0.039309592255633234,-0.015021306613675815,-0.024233122279048325,-0.0057075835632077404,-0.0047823662093250605,-0.009030489755180268
68,0.00636916081931815,0.002975850888249156,-0.03001426443813205,-0.01769846923671762,-0.016514002373254448,-0.008045036933021898,-0.01028720297130819,-0.010230032795904937
69,0.005819928044446854,0.002115578726417001,-0.02470184860284932,-0.014436101642222504,-0.024483183231699904,-0.012232409637026634,-0.0068668007462548775,-0.0036771568065044266
70,0.001524222862433065,0.0011440181509685813,-0.015689724314255696,-0.011508696406942074,-0.026166490762432697,-0.013448081697030097,-0.000855261218711737,-0.0014560638073990444
71,-0.004313212909131666,0.001572037192279814,-0.004963636656643598,-0.01532378733221934,-0.029407221345586,-0.010917128207015873,-0.003862175674286888,-0.0025061298057884387
72,-0.016482153790925172,-0.0020009305104005137,-0.013779393544967069,-0.02486915617969804,-0.03700203065155594,-0.002298805399450569,-0.0007553716368938657,-0.002201301384369453
73,-0.029755290447261863,-0.005433331980753439,-0.009097184076738554,-0.03155119214558394,-0.03539945140854854,-0.0002850058046848031,0.005731976197939571,0.00425101200131674
74,-0.03758148129740412,-0.010535668922261139,-0.00040135091469863636,-0.021672981792990216,-0.04186296185614734,0.004346927687226891,0.00834229748822077,0.007557392520486115
75,-0.041598097926400776,-0.013256972143339783,-0.0023329163757128215,-0.011408575856990207,-0.029161335450584656,0.009993364061293154,0.008890350774784252,0.004641667639610268
76,-0.03981434132292758,-0.015255438649083455,-0.0011887570377699132,-0.008217170914269392,-0.012847497367575452,0.01156160725949499,0.007050308408014173,0.0014793771061479204
77,-0.03914568796079098,-0.017480203579111262,0.015133548232590355,-0.006828489119347749,0.00045425760876530543,0.006700400986925956,0.0009896966692364737,0.0017151815832271496
78,-0.046636539975367305,-0.026410615878099168,0.02720790784774995,0.008898589456505013,0.015385234902573845,-0.0026386347862807575,-0.006178757897374582,-0.0012264364433698422
79,-0.03138009294794047,-0.022956041222320978,0.019108678498712246,0.0009392302146224567,0.010506273014365129,-0.008038137369355521,-0.011131914944661514,-0.0027685763369979114
80,-0.020977270277162098,-0.020398630662755077,0.01934940574794198,0.006603320399297318,0.01306766242118504,-0.018294358443967977,-0.021072239787695762,-0.011481476035425745
81,-0.02527122641969946,-0.024480322837340526,0.03263033513926885,0.021071241538388175,0.010702906116717321,-0.023881495006325488,-0.020020395279059827,-0.02140976055881292
82,-0.012862416483702958,-0.01745958257987928,0.015814226739903393,0.008006525934265048,0.001912489685088182,-0.01936670333288006,-0.01691937291933522,-0.019414057866749556
83,-0.012406077097862045,-0.013942431526459942,0.0025823295662416312,-0.001833606374121339,0.004587255678686372,-0.0166869842937125,-0.018997987550481148,-0.01839885235186437
84,-0.012303675748715649,-0.010970088913741455,-0.007145363251388321,-0.006233771475774003,0.0013843805110146535,-0.011245534721919834,-0.011966612091244055,-0.017662229431886847
85,-0.019286252036868092,-0.010181531410468765,-0.004176978042933826,-0.009230754032401417,-0.012849843446427464,-0.0022364824999952016,-0.004269080858663944,-0.009894769313052505
86,-0.01603205268732965,-0.005530349312002205,-0.00592203679595861,-0.009213105187885625,-0.01732331357910022,0.0011974518066428309,-4.516237522566917e-05,-0.005193997212408668
87,-0.012190044423602366,-0.005417532026875548,-0.006344949973446915,-0.004139630589174916,-0.015354323976589836,-0.003040297729126115,-0.007283616750532967,-0.007850157962760541
88,-0.013702965471378373,-0.005614916763229503,-0.01052189684356935,-0.0035159980342775532,-0.013386067356304661,-0.00781745841895281,-0.012795033518087365,-0.013847127579797133
89,-0.012026987397476699,-0.0043832720342305235,-0.022784403473392015,-0.007363069333758568,-0.018629272660532582,-0.006030706057608708,-0.00970387684719511,-0.009496474505415438
90,-0.004949192828770384,-0.0020106744842334585,-0.04475434635907778,-0.017918531758826857,-0.019692901003140462,-0.0033668502130155737,-0.0018326242637157898,-0.0014366962464069787
91,-0.004952580173412004,-0.002612571275795728,-0.048657599750053175,-0.012303210882815224,-0.027619341333106312,-0.006814813183251631,-0.0016741361363474927,-0.0007651460946755695
92,0.0016333615255942915,0.0022708267082190248,-0.03897784009934732,-0.026797699521706988,-0.03271195797347977,-0.00816968867155941,-0.0052726937322469716,-0.0010056836620833804
93,0.010530834841120886,0.005762195872419879,-0.0392685209891279,-0.038342798422670785,-0.02880524719318791,-0.004366648431622678,-0.00327255770160303,0.0029283094079265585
94,0.005204603278220375,-0.0006669363190392978,-0.02310612192794106,-0.03644931039718125,-0.035391846794021964,-0.006045777937667206,-0.0030824811955890738,0.005829152521296923
95,-0.007034337809140837,-0.004450592280734878,-0.009187158192145944,-0.027257400800109112,-0.03645451266798583,-0.008943136168636748,-0.003204186763844136,0.002666218659513694
96,-0.0212436812370187,-0.00794822651026486,0.005384316688944541,-0.021230149526850133,-0.022035269788555564,-0.007585531097156101,-0.010094433256167521,-0.00946673299603128
97,-0.03064636927068821,-0.007525773143032089,-0.005362079777143763,-0.021271064051073246,-0.02574313462346423,-0.0020257244551141287,-0.003371877058138416,-0.005002428964969465
98,-0.03697607673263158,-0.004976028025596908,-0.008525897472354323,-0.030372163302052474,-0.0381174695713472,0.0047932690334728184,0.009073418875767222,0.005737535811041094
99,-0.043617439661595224,-0.008679459973401148,0.002234711311957588,-0.02909617868536483,-0.0446725681840492,0.008710623021763206,0.015468852975805376,0.005756277871125494
100,-0.040102000326245744,-0.006350840561367125,-0.006998268459802136,-0.019699282903106515,-0.030406748028209665,0.007007214833244168,0.016759160155410145,0.009659988183795555
101,-0.039054091784536824,-0.006637331001410584,-0.004847852212689834,-0.017058303965893865,-0.009213267567989182,0.008823491739769951,0.007992486042492662,0.011546231778618455
102,-0.03500210566415034,-0.008835952198123704,0.003211816585758202,-0.009507357769180293,0.001982237589262199,0.006252396849330664,0.0061499741788219285,0.00815674758438061
103,-0.03197385777967932,-0.013887640987847458,0.01468424525829789,-7.947087720008674e-06,0.016980433341372673,-0.005809001141517083,-0.0034357369622146313,0.0010637633610451152
104,-0.020995306810381004,-0.012580279925330147,0.007856092113901949,-0.0005430035390284177,0.01382372915289713,-0.015551976147381914,-0.01277733718817652,-0.010984984299375071
105,-0.015685847614750476,-0.0175857562919186,0.013266622128566163,0.009654197837742327,0.014792479587898468,-0.0248997778361597,-0.020825967743097536,-0.017944415011222768
106,-0.011148899925162253,-0.02017106635181082,0.02323363017340331,0.007633221853147157,0.006630437695536605,-0.02955529010794771,-0.023726037012976868,-0.01991154926295003
107,-0.0062538451719011635,-0.01470347392409466,0.014071820093030842,-0.005586898466146299,-0.0011901943931425533,-0.022973359038910787,-0.021313810268815445,-0.014409304900732514
108,-0.0057376190409659505,-0.012755738279835734,0.0038465907650394805,0.005405405183316625,-0.007263681330609619,-0.01749197634978634,-0.022495038829599485,-0.02185829327848775
109,-0.006602270967270598,-0.009421935214780186,0.005306733007423681,0.006237808217802673,-0.005576729482916592,-0.014316098226010272,-0.01997848453746574,-0.027865877170870985
110,-0.01667673369141319,-0.011053516092112426,0.0027742174846207158,-0.0007420002759190283,-0.007628628249091196,-0.007793853838293254,-0.008950536978078703,-0.0181364466623149
111,-0.02027955555641067,-0.010173800658575925,-0.0007789867400324571,-0.006929441049394448,-0.004553797443830688,-0.00409238419389363,-0.008713685371635272,-0.010035625151119965
112,-0.01816275168148059,-0.008815149656784227,-0.006261982285035252,-0.001027458746899166,-0.00897882057628074,-0.005499581637232822,-0.013620298029412156,-0.009297560495512983
113,-0.007729273122073999,-0.005682026284603569,-0.008405478744542732,-0.005824280073953373,-0.011309410025819255,-0.004085009297962398,-0.01598169838824069,-0.00810831514512769
114,-0.0037957021001677354,-0.002411838728874695,-0.015807387675077788,-0.02088274175987462,-0.01016197622207742,-0.0055135093851323355,-0.01130898546791005,-0.00619767286418265
115,-0.0049099064152504,-0.0023907581756525778,-0.0323984958720779,-0.029540958577578366,-0.005110120524953688,-0.0037242055424911275,-0.005735701759362587,-0.004407042285661392
116,-0.0034072287630635364,-0.0055078102909247905,-0.04209079389186894,-0.02425566604254334,-0.014497186474059164,-0.006306024195261088,-0.0030710723347394738,-8.801399297099766e-05
117,0.004245408598225863,-0.003390821391587984,-0.04289304767081898,-0.03601689663420614,-0.031052055787243345,-0.0005083263093546179,-0.001827332740579229,0.0023169201752704185
118,0.01659301428599303,0.002945859615570606,-0.039158365456183515,-0.04193036069121561,-0.04940446646829492,0.0031286083064127907,0.00407986925827056,0.0021101316633770927
119,0.009512865306610524,0.0002803414483268899,-0.024529447831629535,-0.033555478110165834,-0.04871822801215539,-0.0005705682790605085,-0.0002177499605087949,-0.004626568639191443
120,-0.006399588502235972,-0.011329224940648001,-0.015656701951863524,-0.03362645101306246,-0.02822312411935158,-0.005774422310460195,-0.006964589180168078,-0.012797582088576108
121,-0.013006100660792571,-0.010518695789123428,-0.005686749390887456,-0.029899043280565505,-0.026418971685026642,-0.0074529203986492135,-0.012927949196876959,-0.01777261561665589
122,-0.019162202991789164,-0.0075293912841491355,-0.009671196634275826,-0.03460581131413395,-0.022053014401552894,-0.003787297989144344,-0.014533008214313501,-0.01570831675209919
123,-0.03222243424894508,-0.007350632753438805,-0.0070614963779166845,-0.04776480499385727,-0.01943678920419334,-0.002399317232323328,-0.0017342018506909217,-0.0018357468285265268
124,-0.03491679170722041,-0.013801490709453927,-0.005410064818169286,-0.031163938980188894,-0.02320816780520796,-0.000610064927178941,0.006322793949122708,0.0011455030192583779
125,-0.026720597503360553,-0.012033307107733324,-0.005405580782508413,-0.01310645662755314,-0.016192398766960436,-3.7064171099319936e-05,0.009553251657135631,-0.0012571756461234338
126,-0.024366107186172957,-0.010697771464189078,0.0001999960326637796,-0.010574965968509844,-0.0027843043969827826,-0.00032982141595520284,0.005116023586864798,0.0009939936135693846
127,-0.027347967743620274,-0.015827662532423785,0.012204384393277503,0.005694250887534242,-0.0006255551253758335,-0.0019315264092668962,0.0023304034105386924,-0.006520704075383834
128,-0.02728186181510524,-0.01684004945670067,0.027763698412519144,0.01320212996955808,0.006280071313100311,-0.009106836783741442,-0.010532364757210706,-0.009776744730792764
129,-0.02019045301119091,-0.015595576510144192,0.02202188977674839,0.008852068562405757,0.021793319850505886,-0.014895486961286598,-0.019234248402251766,-0.013475090341976843
130,-0.01635021074141084,-0.018407042562611074,0.020505005483350998,0.0183609946372688,0.02556224789504786,-0.020896137147392517,-0.02764866062841445,-0.020916005461060847
131,-0.015186465689842736,-0.020576547156822583,0.020018639795544756,0.01632458817374144,0.01447137799855109,-0.02336754501557616,-0.029290041892441214,-0.01776006355352846
132,-0.005908367569214148,-0.015598961540619244,0.01119408743212364,0.006530446566635298,0.004834683752774347,-0.01877069017265021,-0.027505754140164543,-0.01485514051400358
133,-0.002138186862528326,-0.008715610403473796,-0.0003868250062453802,0.0013515521865206425,-0.0010420332767427862,-0.012508327248169202,-0.023453663978963552,-0.021603645526547987
