horizon,V,C,avgy
1,-0.034990191020317356,0.02421672450685105,0.02629577540308361
2,-0.0635350323181836,0.035459420512814886,0.044324010520751564
3,-0.05471253002367021,0.024525022982271123,0.04452622355521516
4,-0.04129433217611156,0.019466297599453643,0.04092092686992287
5,-0.04244066160838045,0.02362325580712215,0.0388892730115669
6,-0.05225678396251657,0.048830933909176914,0.026684812029345573
7,-0.07350103457552598,0.05877176729405511,0.03260939892418077
8,-0.08128738265268903,0.03768394670748283,0.05080863306826038
9,-0.07605278254952626,0.06796780929336849,0.018551252442613596
10,-0.055659035006328864,0.046950838079305966,0.016264349984786954
11,-0.04421718755147614,0.03336250359265991,0.016130584176712783
12,-0.06889711839867177,0.03395927391719824,0.03799590862033566
13,-0.08276276411937955,0.042102014454930205,0.037648160370512815
14,-0.07045558575117175,0.01637159802646407,0.05218462131988161
15,-0.07950499912323804,0.04176450738661318,0.0423692957531381
16,-0.10320137824414294,0.056964539214717315,0.04980426995299111
17,-0.11089489885512302,0.06594170605990715,0.04531925610980289
18,-0.10720905049417646,0.05696161765526488,0.0487074133210919
19,-0.09465390308309508,0.03776047561343167,0.05732313275244683
20,-0.04950522283072049,-0.014109693981175023,0.059149876830062426
21,-0.04276340745384391,-0.02308888676514996,0.06089265899016171
22,-0.01981150729899779,-0.01895113917126285,0.04742621141734363
23,-0.05540893794087778,0.013952537257339737,0.049482154859390955
24,-0.06720925769448816,0.017413759521604764,0.05005604555100786
25,-0.04571093915142651,0.005039647850113799,0.03817784954217956
26,-0.05157477758857558,0.030136117193081322,0.029602252615268408
27,-0.06596214008012563,0.03038808113360135,0.04268200522329966
28,-0.07601327121692351,0.04090542496401675,0.042642721816029606
29,-0.07095848416246289,0.029171039756623253,0.051929725110093125
30,-0.07252800847215866,0.029487909985887514,0.0530912950970774
31,-0.06362955484005235,0.035030008392788047,0.039683361631669245
32,-0.07519277239439177,0.03829515228598325,0.04378444270286029
33,-0.056310005028292004,0.013711381158358649,0.050387378532956016
34,-0.055677040184683536,0.04783521671051694,0.02093081182994571
35,-0.051126723716258905,0.04807895721952154,0.015364740564786195
36,-0.030832808009035307,0.022618793728824686,0.01513077419699551
37,-0.06896325782803743,0.033454105192976265,0.03784214245415314
38,-0.07986443416268395,0.034609186681869804,0.044116030804966684
39,-0.09064905122409303,0.012397601004477395,0.07369676547331544
40,-0.09794676430668262,0.018235849032100522,0.07082771029041579
41,-0.123614193530728,0.04193419694150765,0.07095318384717188
42,-0.1320380693380487,0.05259271468933918,0.06639402759193334
43,-0.1095381877846205,0.03719340040743504,0.060858657472971055
44,-0.08086201824449298,0.0010600313703842581,0.0705885313221227
45,-0.03809377438440184,-0.03828969536863462,0.06828858323533343
46,-0.04509539049122842,-0.029020936356538664,0.06522816647734755
47,-0.04994035293286959,-0.010203596201915764,0.05798841207153616
48,-0.08209739342153409,0.023050178284868474,0.0565245798037862
