horizon,V,C,Y_1,Y_2,Y_3
1,-2.5102106513291603e-05,-2.505018134639375e-05,-2.3728558567306646e-05,-2.4724160708677095e-05,-2.4570635345632642e-05
2,-7.469628241453861e-06,-7.26238679352912e-06,-5.047048820565026e-06,-6.06513375408583e-06,-6.055662117832336e-06
3,-2.8870684070612604e-05,-2.8155651287027185e-05,-2.415255203072691e-05,-2.688196898868803e-05,-2.6126351554152424e-05
4,-2.587755921373935e-07,8.195418207669897e-07,4.326545017302734e-06,3.074206902401288e-06,4.196799843950669e-06
5,-1.756264925544911e-05,-1.5925825169513913e-05,-1.0858680321666054e-05,-1.5106262613316204e-05,-1.3478175462256422e-05
6,2.5968200949481294e-06,4.633712493916517e-06,1.0438581745390639e-05,3.9601034561018255e-06,6.829435835185288e-06
7,-4.617252179043631e-05,-4.346941876311907e-05,-3.612925633862992e-05,-4.4047509155434936e-05,-3.959782616106756e-05
8,-3.6095895016535866e-05,-3.279142653597297e-05,-2.45626236849545e-05,-3.3101003771002574e-05,-3.0052490787441635e-05
9,-5.828395131762521e-05,-5.519727328103321e-05,-4.637516385279634e-05,-6.586906385454958e-06,-8.7487643035113e-06
10,-6.378751732052444e-05,-5.994547173864059e-05,-5.2443906538179104e-05,-7.0722867025380805e-06,-9.55506143085977e-06
11,-8.34627451941437e-06,-4.861792247472175e-06,1.3669057745253995e-06,-4.893206204325707e-07,1.6250214473777237e-07
12,-7.236223962670405e-06,-3.51943568702502e-06,2.5356866685289374e-06,-5.244281621991961e-07,3.638810081603361e-07
13,7.4402931695134255e-06,1.1280406647170066e-05,1.6500958117834472e-05,1.162163752725071e-06,3.378147460252638e-06
14,-1.8221103938403285e-05,-1.3848963256123916e-05,-8.998439296012902e-06,-1.312810178776071e-06,-1.233824208716253e-06
15,-9.329250103879532e-05,-8.75826094299906e-05,-8.166249601999166e-05,-9.653727490949747e-06,-1.3870030936016037e-05
16,-2.7208024559692145e-05,-2.2631425863414568e-05,-1.7587866889774974e-05,-1.8692798705724417e-06,-3.1128421651825865e-06
17,-1.8489457526060683e-05,-1.420889085077463e-05,-8.867219222448485e-06,-5.926762201127146e-07,-1.6480951309909115e-06
18,-2.4771869323095925e-05,-2.1127643424657436e-05,-1.7276318247784955e-05,-1.4498134352577778e-06,-2.4509434486676985e-06
19,-1.7000907065805137e-05,-1.4129135049776578e-05,-9.387214305423972e-06,-6.124079260473374e-07,-1.4746277556656138e-06
20,-3.0518503580065656e-05,-2.8404906369868378e-05,-2.444716244403922e-05,-2.358810322707615e-06,-3.980792129051391e-06
21,-3.0244205964872758e-05,-2.690263575177231e-05,-2.2189755892098945e-05,-2.5139721191806384e-06,-3.6287908087860034e-06
22,-1.7219442189399462e-05,-1.2246097548979812e-05,-6.0608649367198236e-06,-8.190414634969009e-07,-1.1984165078918286e-06
23,-2.3666776142704648e-05,-1.8024785713409535e-05,-1.2068482312493265e-05,-8.244188197626144e-07,-2.6568973910794334e-06
24,-4.836152601305545e-05,-4.3129167573031e-05,-3.7131370727235546e-05,-3.7383563981668927e-06,-6.613958682079022e-06
