horizon,V,C,avgy
1,-2.7908983546192313e-05,-2.7858431821691872e-05,-2.8395140727046876e-05
2,-7.198090620546666e-06,-7.254577695558616e-06,-9.339771219934545e-06
3,-2.684795695677533e-05,-2.6921911393674575e-05,-2.9539732058768042e-05
4,-2.837016372919762e-06,-2.6869368252061006e-06,-2.440726392441499e-06
5,-2.6841683216620305e-05,-2.667240996217536e-05,-2.5883501105954287e-05
6,-8.976132547126907e-06,-8.982303838471133e-06,-1.1122146448770026e-05
7,-7.473728083744186e-05,-7.439233938570507e-05,-7.651816839702189e-05
8,-6.813980726709198e-05,-6.82595698229268e-05,-7.1815266107153e-05
9,-9.251175784409993e-05,-9.271746112169863e-05,-9.57481518633715e-05
10,-0.00010764656486380911,-0.00010743066692802261,-0.00010629154142711881
11,-6.368978214028551e-05,-6.345517722138048e-05,-6.472002013949358e-05
12,-7.28776991044816e-05,-7.223687865732564e-05,-7.056051539467633e-05
13,-4.66211356288856e-05,-4.558294316714482e-05,-4.323943190270994e-05
14,-8.055725131311902e-05,-7.828167507050859e-05,-7.189740474511802e-05
15,-0.00016373234446764076,-0.00016153871155608535,-0.00015866302743297987
16,-9.834151148203928e-05,-9.599782404179527e-05,-9.354912213198727e-05
17,-0.00012184005880596814,-0.00011987029196481376,-0.00011688261211448662
18,-0.00012530949123189906,-0.0001229658581000273,-0.00011888142810815685
19,-0.00012090823409443617,-0.00011907481581430683,-0.00011560537821313181
20,-0.00013606472357543083,-0.0001337581790289953,-0.00012896914997263318
21,-0.00014278393415434972,-0.00013989542302320776,-0.00013524952585389975
22,-0.0001256415996707705,-0.00012212529310460398,-0.00011814189073996164
23,-0.00013149868639315395,-0.00012744161751890027,-0.00011990418178092814
24,-0.0001586348456994359,-0.0001545567834754993,-0.00014853495665834377
25,-0.00012756614119561576,-0.00012357348248772122,-0.00011874269477422633
26,-0.00015501295653982407,-0.0001514438821871859,-0.00014948417242035395
27,-0.00013689726627913405,-0.00013356031868400154,-0.00013468128595798474
28,-0.00015798363173016584,-0.00015409930401799924,-0.0001574059973196404
29,-0.00011597660242286856,-0.0001117399105700001,-0.00011319749177308861
30,-0.00014543927532147387,-0.00014067035757158418,-0.00014134911429166655
31,-0.00014145495491349556,-0.00013764100931211947,-0.00013948587485545282
32,-0.00017619624183244802,-0.00017280024521694178,-0.00017672564803920186
33,-0.00023444262365179006,-0.00023155141252551202,-0.0002373763018671727
34,-0.00023672117920349459,-0.0002336598810572703,-0.00023931927138021834
35,-0.00023007665200193414,-0.00022611263739786392,-0.00023205575560490154
36,-0.00017532290929316333,-0.00017133514343195235,-0.0001799457014027587
37,-0.00019692716624662726,-0.00019140916733783786,-0.0001942727471965613
38,-0.00016633831220370286,-0.00016008514279324776,-0.00016361283523470333
39,-0.00019940000322875284,-0.0001911006422237293,-0.0001914993832150694
40,-0.0002734728810004575,-0.00026571761832647005,-0.0002694830965306283
41,-0.00025166166531227215,-0.0002426951236005825,-0.00024249992085934637
42,-0.00023588000240990637,-0.000227674803528325,-0.00022744290288867337
43,-0.0002521405256104597,-0.00024282561294962878,-0.0002426834672942711
44,-0.00025588690180370667,-0.00024677172586563015,-0.0002480522080600434
45,-0.0002691108973804158,-0.0002594608335455444,-0.00025547533083521015
46,-0.0002686757471778157,-0.00025936214843313033,-0.00025823978997194306
47,-0.0002743257077171037,-0.0002635422119262174,-0.00026382154983565234
48,-0.00025319462857548207,-0.00024313349485767174,-0.0002423254152399579
49,-0.00033109825785347907,-0.0003189963485219334,-0.0003186664329479276
50,-0.00028111531537941775,-0.00026917923143354147,-0.0002660782969374496
51,-0.0002904246165242669,-0.00027927418427155134,-0.0002789735478120981
52,-0.00025989029936304296,-0.0002494128687899629,-0.00025020820221826175
53,-0.0003076429269735714,-0.00029553195944207025,-0.00029739584926678086
54,-0.00026091170696554113,-0.0002480911499627868,-0.000252257860123839
55,-0.0002955516745111995,-0.00028211096608957034,-0.00028793948138276744
56,-0.0002817734054670075,-0.000269537077083175,-0.0002740604249898045
57,-0.00036371589576420275,-0.0003509483646606388,-0.00035883892728406675
58,-0.0003679949637471901,-0.00035560995535003763,-0.00036150502589482944
59,-0.0003767325614935047,-0.0003639112153728074,-0.00036982328158339145
60,-0.00037121140158820375,-0.0003581449622184815,-0.00036659217447160676
61,-0.00031656238746821956,-0.00030368372385076813,-0.00031719130562994874
62,-0.0003238824341224811,-0.00030966940106262895,-0.00031851118644506333
63,-0.00032339351242759363,-0.00030796855154046997,-0.00031619055257987427
64,-0.0003350363761716245,-0.00031917945569877445,-0.0003254638826679424
65,-0.00043871393855099514,-0.0004212394847873239,-0.0004317508387336349
66,-0.00039206840968498865,-0.00037292103600347745,-0.0003791797897971922
67,-0.00035063149500722164,-0.00033211971304053164,-0.0003379861530481853
68,-0.00035776652605286325,-0.00033724350431989225,-0.0003434606034813407
69,-0.000386691855728951,-0.000364614262670313,-0.0003695977690239837
70,-0.00039343060747840786,-0.00037002667157778776,-0.0003724506387936623
71,-0.000390057414720362,-0.0003665589744544719,-0.00036869827692430406
72,-0.00037803597612727925,-0.00035232312664024385,-0.0003556040030562111
73,-0.0004061756397792611,-0.0003784311626009009,-0.000379816534288482
